rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/fps,train/learning_rate,time/episodes,train/ent_coef,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,time/total_timesteps
-1032.378775,6.916196823120117,975.0,52,0.0003,4,0.33973172307014465,3799,0.42295897006988525,74,-3.3491101264953613,3900
-657.9754356249999,6.286296844482422,1137.5,52,0.0003,8,0.07635381817817688,8999,0.07023756206035614,172,-6.003407001495361,9100
-512.5785159999999,6.280946731567383,1174.5833333333333,52,0.0003,12,0.02123897522687912,13994,0.04171878844499588,268,-2.902179002761841,14095
-427.2955539375,6.202946662902832,1134.375,52,0.0003,16,0.010881278663873672,18049,0.04011765494942665,348,0.13872218132019043,18150
-366.65401390000005,6.235692501068115,1040.0,51,0.0003,20,0.009637006558477879,20699,0.05372433364391327,400,0.5135797262191772,20800
-339.9186820833333,6.389291763305664,1029.1666666666667,51,0.0003,24,0.009387507103383541,24599,0.030072949826717377,476,0.4694034457206726,24700
-314.2933971785714,6.49484920501709,1007.9285714285714,51,0.0003,28,0.010069303214550018,28121,0.031027261167764664,546,0.21144035458564758,28222
-288.65674175,6.492676258087158,975.0,51,0.0003,32,0.01038218755275011,31099,0.33800429105758667,606,-1.052032232284546,31200
-283.0671728333333,6.999086380004883,1011.1111111111111,51,0.0003,36,0.009936126880347729,36299,0.05958537012338638,707,0.6674492955207825,36400
-274.40802095,6.5281877517700195,1040.0,51,0.0003,40,0.01012334879487753,41499,0.04670939967036247,810,-0.15359550714492798,41600
-255.82177297727267,6.147563457489014,1030.7954545454545,51,0.0003,44,0.010275180451571941,45254,0.047135449945926666,885,-0.43590396642684937,45355
-239.28348918749998,4.828425407409668,994.3125,51,0.0003,48,0.012327824719250202,47626,0.08813010156154633,934,2.2564964294433594,47727
-233.52050432692306,4.189345836639404,1000.0,51,0.0003,52,0.011460595764219761,51899,0.14815327525138855,1018,0.9092758297920227,52000
-224.66690832142856,5.2744951248168945,998.2142857142857,51,0.0003,56,0.010547971352934837,55799,0.05648049712181091,1095,-0.8277076482772827,55900
