Env,fx,fy,fz
0.0,0.00010135276,-2.2456337e-05,2.680339e-05
0.0,237.56926,4051.256,987.8822
0.0,-6275.402,-26805.355,-6777.531
0.0,-321009.44,592961.3,58460.438
0.0,-32749216.0,21819472.0,50650330.0
0.0,-2401712700000.0,4308195300000.0,2330718000000.0
0.0,-1.6314935e+22,1.9333586e+22,-2.4667645e+21
0.0,374.30243,-1407.3066,588.10706
