Env,A1,A2,A3,A4
0.0,0.23317023,0.23317023,0.01503461,0.31045175
0.0,1.1368119,1.1368119,1.4496807,-1.3795402
0.0,-1.6994047,-1.6994047,-1.6074411,1.6319149
0.0,0.8151864,0.8151864,1.3084998,-1.1481681
0.0,-0.17983182,-0.17983182,-0.9588833,0.86267936
0.0,-0.9981302,-0.9981302,-1.0039377,-0.5567963
0.0,-0.7703989,-0.7703989,-1.0979056,0.5272353
0.0,0.750293,0.750293,-0.90879357,1.2038057
