Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,-0.06104707,0.043081384,0.29559365,-8.541062e-05,-0.00020224212,3.1532112e-05,1.0,-0.004060115,0.0008778466,-0.09906486,-0.012075627,-0.02594454,0.005657479
0.0,-0.2990963,0.0,26.278822,-0.07684316,0.0805465,-0.66502756,0.7384753,53.528076,3.7996452,1.2140712,-9.109422,0.5797164,15.773116
0.0,0.23618448,0.037996452,26.290962,-0.11826859,0.046145495,-0.6077155,0.78394186,-512.99884,-17.897058,-9.5466,41.18064,-6.75959,-68.742874
0.0,-4.8938036,-0.14097412,26.195496,0.07380506,0.17204402,-0.80873436,0.55758613,12926.638,1404.636,751.74756,-1904.402,43.380688,3031.833
0.0,124.37257,13.905386,33.71297,-0.4472175,-0.3507341,0.3340381,0.75193125,-1254042.1,75281.68,-186211.31,303825.9,-132684.58,-763032.0
0.0,-12416.048,766.72217,-1828.4,-0.10045886,0.16817445,-0.8889787,0.41393507,105920390000.0,-24849875000.0,8215135000.0,-968651300.0,26504974000.0,-38656786000.0
0.0,1059191400.0,-248497970.0,82149520.0,-0.37248245,0.29849485,-0.28800008,-0.8301889,-4.71043e+20,1.7075171e+20,-8.5919665e+19,6.284759e+19,-1.3826503e+20,-8.462615e+19
0.0,-0.2715208,0.0,22.163174,0.18640006,0.055751853,0.57786715,0.79260105,4.059086,-3.0970898,1.594435,5.014959,0.24140939,-7.486146
