train/learning_rate,time/fps,time/total_timesteps,train/actor_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,train/ent_coef,time/episodes,train/critic_loss,time/time_elapsed,rollout/ep_len_mean
0.0003,35,189,-0.44296619296073914,-0.13060668110847473,88,-148.9802675,0.9742254018783569,4,18.145450592041016,5,47.25
0.0003,34,396,0.5497268438339233,-0.34471243619918823,295,-114.070131875,0.920352041721344,8,4.978986740112305,11,49.5
0.0003,32,546,-0.09053421020507812,-0.5256366729736328,445,-86.00965266666667,0.8829221129417419,12,2.2145793437957764,16,45.5
0.0003,31,706,-0.04794858768582344,-0.7156902551651001,605,-73.2288616875,0.8434275388717651,16,1.823620080947876,22,44.125
0.0003,32,916,-0.6623548865318298,-0.9340202212333679,815,-69.04102485000001,0.7935394644737244,20,0.9216711521148682,28,45.8
0.0003,33,1191,-0.8662514686584473,-1.238142728805542,1090,-63.44647524999999,0.73231041431427,24,0.8586667776107788,35,49.625
0.0003,33,1469,-1.0138773918151855,-1.648207664489746,1368,-59.69653382142857,0.675224781036377,28,0.7749927043914795,43,52.464285714285715
0.0003,34,1845,-1.6844173669815063,-1.977838397026062,1744,-57.3993275625,0.604971170425415,32,0.41049399971961975,52,57.65625
0.0003,39,3063,-2.3447649478912354,-3.2798523902893066,2962,-66.24641302777778,0.4248119294643402,36,0.3156432509422302,78,85.08333333333333
0.0003,41,4603,-1.9190415143966675,-4.4746599197387695,4502,-70.358660775,0.27321362495422363,40,0.15091688930988312,110,115.075
0.0003,43,6500,-0.8040280938148499,-5.594122886657715,6399,-72.12736152272728,0.15969161689281464,44,0.08321182429790497,151,147.72727272727272
0.0003,43,8289,-0.33185309171676636,-6.795351505279541,8188,-68.59401625,0.09574174880981445,48,0.2511652112007141,188,172.6875
0.0003,45,10400,-0.22213967144489288,-5.076905727386475,10299,-62.016637019230764,0.05465338006615639,52,0.06556627154350281,228,200.0
0.0003,46,13000,-0.8235040903091431,-4.202001094818115,12899,-56.72982424999999,0.02961920201778412,56,0.051685161888599396,276,232.14285714285714
0.0003,47,15207,-1.8582514524459839,-2.1732091903686523,15106,-51.40898316666666,0.02000313624739647,60,0.11844728887081146,318,253.45
0.0003,48,17681,-2.500873565673828,0.06349407881498337,17580,-47.455493578125,0.013665706850588322,64,0.11678880453109741,366,276.265625
0.0003,48,19500,-3.1274800300598145,0.8867255449295044,19399,-43.455943088235294,0.01224907673895359,68,0.06960524618625641,403,286.7647058823529
0.0003,48,21427,-3.2301509380340576,-1.0116181373596191,21326,-39.43463369444444,0.011863944120705128,72,0.1013515293598175,443,297.59722222222223
0.0003,48,24023,-4.228874206542969,-0.1625669300556183,23922,-33.161081421052636,0.013586191460490227,76,0.33885765075683594,496,316.0921052631579
0.0003,48,25321,-4.639108657836914,-0.22384265065193176,25220,-30.929350774999996,0.01464284397661686,80,0.13748571276664734,524,316.5125
0.0003,48,25932,-4.516330242156982,0.7466713786125183,25831,-29.924374619047615,0.014646042138338089,84,0.13559778034687042,539,308.7142857142857
0.0003,47,26433,-4.068349838256836,0.2931636571884155,26332,-29.039989386363633,0.01477024145424366,88,0.1271381974220276,552,300.375
0.0003,47,26955,-3.9191701412200928,-0.18934369087219238,26854,-28.32677652173913,0.014810659922659397,92,0.12823617458343506,565,292.9891304347826
0.0003,47,27442,-4.062003135681152,-0.20438867807388306,27341,-27.625676770833326,0.01526942290365696,96,0.12944072484970093,577,285.8541666666667
0.0003,47,27982,-4.603165149688721,0.9690781235694885,27881,-27.144566329999996,0.01576188951730728,100,0.13611073791980743,589,279.82
0.0003,47,28521,-5.808839797973633,1.7118951082229614,28420,-21.73651797,0.016697147861123085,104,1.0062134265899658,602,283.32
0.0003,47,29001,-4.874582290649414,-0.3598079979419708,28900,-18.952536110000004,0.017181018367409706,108,0.13476204872131348,612,286.05
0.0003,47,29527,-4.320256233215332,-0.8847163915634155,29426,-18.252134370000004,0.017233440652489662,112,0.13761365413665771,625,289.81
0.0003,47,30035,-4.8667168617248535,-0.07206845283508301,29934,-17.255463270000003,0.016924146562814713,116,0.12372873723506927,636,293.29
0.0003,47,30578,-5.558414936065674,0.3586790859699249,30477,-15.680410880000002,0.016677724197506905,120,0.16000312566757202,648,296.62
0.0003,47,31188,-4.281317710876465,0.10311675071716309,31087,-14.62723127,0.01678481325507164,124,0.4914582371711731,661,299.97
0.0003,47,31615,-4.882318019866943,0.1833135336637497,31514,-13.490363649999999,0.017058324068784714,128,0.17671611905097961,671,301.46
0.0003,47,32166,-5.211049556732178,-0.2094171941280365,32065,-12.34201513,0.017535680904984474,132,0.1292908787727356,683,303.21
0.0003,46,32636,-4.868782997131348,0.22929935157299042,32535,-7.210885360000001,0.017919814214110374,136,0.16303879022598267,694,295.73
0.0003,46,33166,-5.5178375244140625,0.012876331806182861,33065,-3.470710869999999,0.018174605444073677,140,0.14563025534152985,706,285.63
0.0003,46,33931,-5.574728012084961,-0.47371217608451843,33830,-0.10425911999999894,0.017561236396431923,144,0.15140017867088318,722,274.31
0.0003,46,34600,-5.103184223175049,0.29173651337623596,34499,0.7295193700000006,0.017735516652464867,148,0.2587011456489563,736,263.11
0.0003,46,35100,-4.762119770050049,-1.0017163753509521,34999,-0.3977818499999997,0.018738094717264175,152,0.18767765164375305,748,247.0
0.0003,46,35834,-4.807596206665039,0.38207799196243286,35733,-1.3040802099999995,0.018802935257554054,156,0.2768820524215698,763,228.34
0.0003,46,36400,-5.148011207580566,-0.14120739698410034,36299,-2.37107733,0.01888701319694519,160,0.19278690218925476,776,211.93
0.0003,46,36991,-5.335779190063477,-0.4212205111980438,36890,-3.1355917599999996,0.018658719956874847,164,0.3383011817932129,788,193.1
0.0003,46,37700,-5.395256519317627,0.4634650945663452,37599,-4.1965668,0.018835442140698433,168,0.3977108597755432,804,182.0
0.0003,46,38507,-4.394040107727051,0.18453830480575562,38406,-5.49410903,0.019634457305073738,172,0.3108556866645813,823,170.8
0.0003,46,39171,-6.067041873931885,-0.8884124755859375,39070,-8.87482121,0.01953725330531597,176,0.3139650821685791,838,151.48
0.0003,46,39946,-5.832457065582275,-0.8271828889846802,39845,-9.45942755,0.02015434205532074,180,0.22814908623695374,856,146.25
