Env,ground_speed
0.0,0.04905
0.0,34.071377
0.0,34.063873
0.0,34.01602
0.0,33.985546
0.0,33.96487
0.0,33.949314
0.0,33.935898
0.0,33.922703
0.0,33.90855
0.0,33.892796
0.0,33.875214
0.0,33.855858
0.0,33.834984
0.0,33.812973
0.0,33.79027
0.0,33.767326
0.0,33.74457
0.0,33.722393
0.0,33.701107
0.0,33.680973
0.0,33.662186
0.0,33.64486
0.0,33.629047
0.0,33.61476
0.0,33.60196
0.0,33.590557
0.0,33.580452
0.0,33.57152
0.0,33.563618
0.0,33.5566
0.0,33.550316
0.0,33.544624
0.0,33.539383
0.0,33.53446
0.0,33.529736
0.0,33.525112
0.0,33.520496
0.0,33.51582
0.0,33.511013
0.0,33.506046
0.0,33.500896
0.0,33.495564
0.0,33.490074
0.0,33.484455
0.0,33.478756
0.0,33.473045
0.0,33.467384
0.0,33.46186
0.0,33.456554
0.0,33.45156
0.0,33.446957
0.0,33.44284
0.0,33.439285
0.0,33.436382
0.0,33.4342
0.0,33.432793
0.0,33.432213
0.0,33.4325
0.0,33.433678
0.0,33.435757
0.0,33.438732
0.0,33.44258
0.0,33.447273
0.0,33.452755
0.0,33.45896
0.0,33.465828
0.0,33.473263
0.0,33.481167
0.0,33.489437
0.0,33.497967
0.0,33.50663
0.0,33.515305
0.0,33.523872
0.0,33.532207
0.0,33.540176
0.0,33.547665
0.0,33.554543
0.0,33.560707
0.0,33.566055
0.0,33.5705
0.0,33.573956
0.0,33.57636
0.0,33.577656
0.0,33.577812
0.0,33.576805
0.0,33.574627
0.0,33.57129
0.0,33.56681
0.0,33.56124
0.0,33.554626
0.0,33.54703
0.0,33.538536
0.0,33.529236
0.0,33.51922
0.0,33.5086
0.0,33.49748
0.0,33.48598
0.0,33.474213
0.0,33.46228
0.0,33.450294
0.0,33.438354
0.0,33.42656
0.0,33.41498
0.0,33.403687
0.0,33.39274
0.0,33.38217
0.0,33.372017
0.0,33.362274
0.0,33.35294
0.0,33.343987
0.0,33.335373
0.0,33.327045
0.0,33.318935
0.0,33.31096
0.0,33.303024
0.0,33.29503
0.0,33.286873
0.0,33.278442
0.0,33.269627
0.0,33.260307
0.0,33.25036
0.0,33.23969
0.0,33.22819
0.0,33.215786
0.0,33.20238
0.0,33.187912
0.0,33.17233
0.0,33.15558
0.0,33.137638
0.0,33.118484
0.0,33.098125
0.0,33.076572
0.0,33.05384
0.0,33.029984
0.0,33.005047
0.0,32.979095
0.0,32.95221
0.0,32.924465
0.0,32.895966
0.0,32.86681
0.0,32.837097
0.0,32.806946
0.0,32.77647
0.0,32.745785
0.0,32.715008
0.0,32.684258
0.0,32.65364
0.0,32.62327
0.0,32.593246
0.0,32.56367
0.0,32.534626
0.0,32.506195
