Env,air_speed
0.0,20.000061
0.0,33.182716
0.0,33.181858
0.0,33.12336
0.0,33.079605
0.0,33.046127
0.0,33.020123
0.0,32.999573
0.0,32.98288
0.0,32.96876
0.0,32.95623
0.0,32.944527
0.0,32.933144
0.0,32.92175
0.0,32.91016
0.0,32.89832
0.0,32.886227
0.0,32.873947
0.0,32.861557
0.0,32.849136
0.0,32.83678
0.0,32.824566
0.0,32.812553
0.0,32.80078
0.0,32.789284
0.0,32.778072
0.0,32.76714
0.0,32.756485
0.0,32.746086
0.0,32.735924
0.0,32.72598
0.0,32.716232
0.0,32.70666
0.0,32.697254
0.0,32.688004
0.0,32.678898
0.0,32.669952
0.0,32.661175
0.0,32.65258
0.0,32.644188
0.0,32.636032
0.0,32.628155
0.0,32.620617
0.0,32.613472
0.0,32.606796
0.0,32.60066
0.0,32.595146
0.0,32.590336
0.0,32.58631
0.0,32.583164
0.0,32.580967
0.0,32.579796
0.0,32.579735
0.0,32.580837
0.0,32.58317
0.0,32.58679
0.0,32.591717
0.0,32.59799
0.0,32.605618
0.0,32.614605
0.0,32.62494
0.0,32.636593
0.0,32.64952
0.0,32.663673
0.0,32.67898
0.0,32.695366
0.0,32.712734
0.0,32.730988
0.0,32.75001
0.0,32.769688
0.0,32.78989
0.0,32.810482
0.0,32.83133
0.0,32.852295
0.0,32.873238
0.0,32.894005
0.0,32.914467
0.0,32.934483
0.0,32.953922
0.0,32.972675
0.0,32.990623
0.0,33.007675
0.0,33.023743
0.0,33.038757
0.0,33.052658
0.0,33.065407
0.0,33.07698
0.0,33.087364
0.0,33.096558
0.0,33.10459
0.0,33.111492
0.0,33.117306
0.0,33.1221
0.0,33.125946
0.0,33.128918
0.0,33.13111
0.0,33.13262
0.0,33.133545
0.0,33.13398
0.0,33.13403
0.0,33.133785
0.0,33.133347
0.0,33.132793
0.0,33.132202
0.0,33.131634
0.0,33.13114
0.0,33.13077
0.0,33.130543
0.0,33.130463
0.0,33.130527
0.0,33.130714
0.0,33.13099
0.0,33.13129
0.0,33.13156
0.0,33.131725
0.0,33.131695
0.0,33.13137
0.0,33.13066
0.0,33.12945
0.0,33.12764
0.0,33.12511
0.0,33.121746
0.0,33.117455
0.0,33.11214
0.0,33.10572
0.0,33.09811
0.0,33.089256
0.0,33.079094
0.0,33.06759
0.0,33.054718
0.0,33.04046
0.0,33.024826
0.0,33.007824
0.0,32.98949
0.0,32.969868
0.0,32.94901
0.0,32.926987
0.0,32.90388
0.0,32.87978
0.0,32.85478
0.0,32.828983
0.0,32.802505
0.0,32.77546
0.0,32.74797
0.0,32.720154
0.0,32.692127
0.0,32.664017
0.0,32.63594
0.0,32.608
0.0,32.580315
0.0,32.55298
0.0,32.526085
0.0,32.499718
0.0,32.473957
0.0,32.44886
0.0,32.42449
0.0,32.400887
