Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,0.0,0.0,10.111777,-0.026078654,-0.06426363,-0.6583181,0.7495382,7.963256,32.27395,-4.1992726,-0.15344603,-1.4739547,-0.07652421
0.0,0.0,0.0,10.069784,-0.021826055,-0.070280716,-0.6587297,0.7487721,7.938255,32.262215,-4.294596,-0.14632833,-1.4654456,-0.09972983
0.0,0.0,0.0,10.026838,-0.01758179,-0.07623613,-0.6591936,0.74789226,7.912198,32.250923,-4.3849726,-0.13955255,-1.4564447,-0.123440385
0.0,0.0,0.0,9.982988,-0.013349941,-0.082129344,-0.65971226,0.7468978,7.885071,32.240093,-4.4706964,-0.13306959,-1.4469554,-0.14757362
0.0,0.0,0.0,9.938281,-0.009134375,-0.08795973,-0.6602878,0.7457881,7.8568783,32.22975,-4.552066,-0.1268327,-1.4369801,-0.17204165
0.0,0.0,0.0,9.89276,-0.0049387566,-0.09372653,-0.6609217,0.7445626,7.8276434,32.219933,-4.6293783,-0.120796025,-1.4265178,-0.19675186
0.0,0.0,0.0,9.846466,-0.00076655904,-0.09942892,-0.6616155,0.7432215,7.797408,32.210674,-4.7029347,-0.11491394,-1.4155669,-0.22160703
0.0,0.0,0.0,9.799437,0.0033789554,-0.1050659,-0.6623702,0.7417651,7.76623,32.202015,-4.7730236,-0.10914613,-1.4041245,-0.24650675
0.0,0.0,0.0,9.751706,0.0074947136,-0.11063637,-0.6631865,0.740194,7.734183,32.194,-4.8399296,-0.103454635,-1.3921845,-0.271348
0.0,0.0,0.0,9.703307,0.011577824,-0.116139084,-0.6640645,0.73850936,7.701353,32.186672,-4.9039245,-0.09780655,-1.3797415,-0.29602578
0.0,0.0,0.0,9.654268,0.015625564,-0.12157269,-0.6650043,0.7367125,7.66784,32.180073,-4.9652677,-0.09217344,-1.366791,-0.32043406
0.0,0.0,0.0,9.604615,0.019635381,-0.12693572,-0.6660053,0.7348052,7.6337533,32.174244,-5.0242043,-0.08653123,-1.3533273,-0.34446648
0.0,0.0,0.0,9.554373,0.023604875,-0.13222662,-0.6670668,0.7327898,7.5992117,32.169228,-5.0809627,-0.080860496,-1.3393444,-0.36801732
