time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,train/n_updates,train/critic_loss,time/fps,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,time/episodes,train/actor_loss,train/learning_rate
1521,27,380.25,1420,0.27250754833221436,55,-1.8700802326202393,-206.01644075000002,0.659244179725647,4,-7.658505916595459,0.0003
5200,92,650.0,5099,0.09841153770685196,56,-5.999042510986328,-192.00454325,0.22486962378025055,8,-11.21047592163086,0.0003
10400,184,866.6666666666666,10299,0.013162406161427498,56,-9.029074668884277,-164.55177858333334,0.051160067319869995,12,-9.500625610351562,0.0003
15600,277,975.0,15499,0.005354876630008221,56,-8.882905006408691,-134.28411599999998,0.012130930088460445,16,-7.0582146644592285,0.0003
20800,370,1040.0,20699,0.0066138096153736115,56,-3.098109245300293,-113.01782049999997,0.0036750314757227898,20,-5.085854530334473,0.0003
26000,464,1083.3333333333333,25899,0.0028888420201838017,56,1.461665391921997,-97.99198420833334,0.0025928586255759,24,-3.7312848567962646,0.0003
29859,534,1066.392857142857,29758,0.002138781128451228,55,0.519781768321991,-84.76305517857142,0.002480430994182825,28,-2.951683759689331,0.0003
33330,599,1041.5625,33229,0.0017465297132730484,55,-0.6082742214202881,-76.45399868749999,0.0024990951642394066,32,-2.378265857696533,0.0003
35100,634,975.0,34999,0.002336363075301051,55,0.5398169159889221,-68.77000327777777,0.002171693602576852,36,-2.193256139755249,0.0003
37276,675,931.9,37175,0.002111527370288968,55,0.5962424278259277,-62.336000225,0.0022776187397539616,40,-1.9681848287582397,0.0003
39000,709,886.3636363636364,38899,0.0327288992702961,55,0.18466363847255707,-57.09411368181818,0.0024918520357459784,44,-1.6771385669708252,0.0003
40735,742,848.6458333333334,40634,0.0016679894179105759,54,-0.1494446098804474,-52.592706562500005,0.0025530424900352955,48,-1.6926575899124146,0.0003
41840,764,804.6153846153846,41739,0.001910606399178505,54,-0.5971511602401733,-48.67737498076922,0.0023702795151621103,52,-1.5378153324127197,0.0003
42455,777,758.125,42354,0.0017459751106798649,54,0.474436491727829,-45.49260119642857,0.0023343833163380623,56,-1.478973150253296,0.0003
43307,794,721.7833333333333,43206,0.0016684159636497498,54,0.7032798528671265,-42.786477,0.0022786755580455065,60,-1.4893269538879395,0.0003
44161,811,690.015625,44060,0.002199256792664528,54,-0.8972519040107727,-40.2561426875,0.002229801844805479,64,-1.5002754926681519,0.0003
45487,837,668.9264705882352,45386,0.0018048817291855812,54,0.05768531560897827,-37.94303047058824,0.0022661411203444004,68,-1.4209396839141846,0.0003
46254,853,642.4166666666666,46153,0.002077696146443486,54,0.32175588607788086,-35.988604527777774,0.002272199373692274,72,-1.368217945098877,0.0003
47231,872,621.4605263157895,47130,0.0035455652978271246,54,0.7344377636909485,-34.25769289473684,0.0024224440567195415,76,-1.3593108654022217,0.0003
48608,901,607.6,48507,0.0023025074042379856,53,0.7518419027328491,-32.68546685,0.0026523855049163103,80,-1.1700611114501953,0.0003
49400,917,588.0952380952381,49299,0.0025675350334495306,53,1.1411099433898926,-31.237414107142854,0.00280134123750031,84,-1.1900787353515625,0.0003
50098,932,569.2954545454545,49997,0.0022617799695581198,53,0.24141840636730194,-29.974539500000002,0.002835853723809123,88,-1.2648794651031494,0.0003
50700,945,551.0869565217391,50599,0.002218248788267374,53,-0.6027055978775024,-28.7817045326087,0.0029122645501047373,92,-1.3253941535949707,0.0003
51345,958,534.84375,51244,0.00208135019056499,53,-0.9389423131942749,-27.729527270833334,0.002879563020542264,96,-1.2428898811340332,0.0003
51964,971,519.64,51863,0.002521943999454379,53,0.8204108476638794,-26.758979640000003,0.002833923324942589,100,-1.1827073097229004,0.0003
52601,985,510.8,52500,0.0023582964204251766,53,0.08492499589920044,-18.61224127,0.002903940388932824,104,-1.2490609884262085,0.0003
53537,1004,483.37,53436,0.048400260508060455,53,1.2558951377868652,-11.609264849999999,0.0031184323597699404,108,-1.252249002456665,0.0003
54526,1024,441.26,54425,0.004801752511411905,53,-0.8921695947647095,-7.29696853,0.003261258127167821,112,-1.3216986656188965,0.0003
55275,1039,396.75,55174,0.0038498169742524624,53,1.110304832458496,-5.70200655,0.0033232392743229866,116,-1.3041445016860962,0.0003
56232,1059,354.32,56131,0.005457071587443352,53,0.33709239959716797,-4.68442031,0.0031605807598680258,120,-1.2022793292999268,0.0003
57200,1079,312.0,57099,0.003545808605849743,53,-0.5368924140930176,-3.7853412699999995,0.0030879932455718517,124,-1.334449052810669,0.0003
58500,1104,286.41,58399,0.0027163419872522354,52,0.7975015044212341,-3.6470564999999993,0.0030892333015799522,128,-1.4413142204284668,0.0003
59603,1126,262.73,59502,0.007679155096411705,52,0.7337913513183594,-2.98399744,0.003194474382326007,132,-1.470834732055664,0.0003
60670,1147,255.7,60569,0.00687498738989234,52,-0.9209871292114258,-2.79182343,0.0033834222704172134,136,-1.3696720600128174,0.0003
61869,1170,245.93,61768,0.0049297623336315155,52,0.2973470091819763,-2.4534814,0.003418155713006854,140,-1.438187599182129,0.0003
