time/episodes,train/ent_coef,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/n_updates,time/time_elapsed,train/actor_loss,train/critic_loss
4,0.003365160198882222,2.6072864532470703,896,0.0003,224.0,16.451550249999997,50,100695,17,-4.593380928039551,0.28790733218193054
8,0.004306045360863209,3.6976377964019775,1962,0.0003,245.25,17.069581624999998,51,101761,38,-4.451021671295166,0.038211382925510406
12,0.005006761290132999,1.7164645195007324,2571,0.0003,214.25,11.79081875,50,102370,51,-3.8419501781463623,0.10131242126226425
16,0.005543118342757225,1.271736979484558,3045,0.0003,190.3125,9.07225275,49,102844,61,-3.798570394515991,0.015312984585762024
20,0.006002887152135372,-1.0154573917388916,3651,0.0003,182.55,7.76065335,49,103450,74,-3.5665056705474854,0.023849811404943466
24,0.007189603988081217,1.2929785251617432,4606,0.0003,191.91666666666666,11.376873708333333,49,104405,93,-4.300058364868164,0.03133708983659744
28,0.00815787073224783,0.687684178352356,5200,0.0003,185.71428571428572,11.148674285714284,49,104999,106,-4.375244140625,0.029675228521227837
32,0.00848676823079586,0.35936370491981506,5409,0.0003,169.03125,9.84228825,48,105208,112,-4.401175498962402,0.023211071267724037
36,0.008638808503746986,-0.6133304834365845,6277,0.0003,174.36111111111111,9.608576166666666,48,106076,129,-4.816002368927002,0.040965039283037186
40,0.009202622808516026,-0.009115159511566162,7215,0.0003,180.375,9.52883685,48,107014,148,-4.812602996826172,0.22445151209831238
44,0.009657040238380432,1.1676464080810547,7800,0.0003,177.27272727272728,8.91568368181818,48,107599,160,-4.536267280578613,0.03398334980010986
48,0.010223439894616604,-0.39295414090156555,8536,0.0003,177.83333333333334,8.860621645833334,48,108335,175,-4.692612648010254,0.06054992228746414
52,0.010608687065541744,-0.42408013343811035,9764,0.0003,187.76923076923077,10.928353211538463,48,109563,199,-5.396632194519043,0.08225982636213303
56,0.011813437566161156,0.24885740876197815,11554,0.0003,206.32142857142858,14.239577214285715,49,111353,233,-6.804389476776123,0.08559266477823257
60,0.014385462738573551,1.2029223442077637,13936,0.0003,232.26666666666668,16.591526483333332,50,113735,276,-7.8018107414245605,0.24282357096672058
64,0.012889610603451729,-0.6715113520622253,17079,0.0003,266.859375,16.8809071875,51,116878,333,-8.802373886108398,0.07711827009916306
68,0.013633137568831444,1.4307469129562378,18200,0.0003,267.6470588235294,15.898765294117648,51,117999,354,-9.272790908813477,0.07460138946771622
72,0.014313507825136185,-0.2735711634159088,18984,0.0003,263.6666666666667,15.036457527777777,51,118783,371,-8.607938766479492,0.06601318717002869
76,0.014037798158824444,0.40276846289634705,19682,0.0003,258.9736842105263,14.241375131578947,50,119481,388,-8.735729217529297,1.2286474704742432
80,0.013541912660002708,-0.3143967390060425,20389,0.0003,254.8625,13.550382299999999,50,120188,404,-8.767592430114746,0.0929427295923233
84,0.01328099612146616,-0.30241236090660095,20940,0.0003,249.28571428571428,12.983055059523808,50,120739,417,-7.981998443603516,0.0897112712264061
88,0.013145290315151215,0.44063878059387207,21544,0.0003,244.8181818181818,12.57848964772727,49,121343,430,-8.43560791015625,0.06087849289178848
92,0.013052118942141533,-0.4202249348163605,22100,0.0003,240.2173913043478,12.171038902173912,49,121899,443,-8.476285934448242,0.14232385158538818
96,0.012911350466310978,-0.04581594467163086,22610,0.0003,235.52083333333334,11.77315803125,49,122409,454,-9.182358741760254,0.19327980279922485
100,0.014083785936236382,1.8306782245635986,23268,0.0003,232.68,11.673789160000002,49,123067,470,-9.513687133789062,0.22196540236473083
104,0.015214310958981514,0.45563989877700806,23823,0.0003,229.27,11.200639220000001,49,123622,484,-9.449277877807617,0.682462751865387
