Env,roll,pitch,yaw
0.0,-4.7421827e-14,-5.9087124e-10,-5.4214157e-14
0.0,-0.14163949,0.013335855,-0.46731088
0.0,-0.14122601,0.0137479585,-0.4674982
0.0,-0.14203957,0.014917159,-0.46803686
0.0,-0.14227082,0.016045988,-0.4685852
0.0,-0.14351167,0.01715426,-0.46905723
0.0,-0.14416526,0.01771349,-0.46931997
0.0,-0.14488913,0.017426567,-0.4691667
0.0,-0.14652039,0.016549041,-0.4686617
0.0,-0.14884916,0.014993964,-0.46778646
0.0,-0.15001675,0.01320076,-0.46678597
0.0,-0.14984156,0.011067809,-0.46558052
0.0,-0.15078065,0.009692496,-0.46481624
0.0,-0.1515859,0.008494168,-0.46413264
0.0,-0.15181144,0.007159458,-0.46335116
0.0,-0.15190254,0.0060523865,-0.46268326
0.0,-0.15297356,0.005754889,-0.46248263
0.0,-0.15486221,0.006225573,-0.46271172
0.0,-0.1553112,0.00739748,-0.4633188
0.0,-0.1546477,0.009001754,-0.46420342
0.0,-0.15516116,0.011173798,-0.46531245
0.0,-0.15657671,0.01292579,-0.4661205
0.0,-0.15732995,0.014213641,-0.4667892
0.0,-0.15761203,0.015234464,-0.46739325
0.0,-0.15883236,0.016221378,-0.46787652
0.0,-0.1597761,0.017621582,-0.46863773
0.0,-0.16151889,0.019194677,-0.4694176
0.0,-0.16370216,0.021006076,-0.4702999
0.0,-0.16597573,0.023184262,-0.47141144
0.0,-0.16821569,0.025103826,-0.47242102
0.0,-0.16950336,0.027259167,-0.47376987
0.0,-0.17020947,0.028793596,-0.4748936
0.0,-0.16980146,0.029499093,-0.47575873
0.0,-0.17038219,0.029439325,-0.4760259
0.0,-0.17064936,0.028744234,-0.47597754
0.0,-0.17133291,0.027717013,-0.47570577
0.0,-0.1726468,0.026063193,-0.47503415
0.0,-0.17312096,0.02382644,-0.47404662
0.0,-0.17265691,0.0211386,-0.47279042
0.0,-0.17135392,0.018024242,-0.47125927
0.0,-0.17121379,0.014517621,-0.4696209
0.0,-0.17110708,0.010682788,-0.46780264
0.0,-0.17041898,0.007388457,-0.46622327
0.0,-0.17073454,0.0037612347,-0.4646208
0.0,-0.17033775,-4.2859432e-05,-0.4627879
0.0,-0.1700475,-0.0029259901,-0.46152762
0.0,-0.17068177,-0.0060351933,-0.46030813
0.0,-0.17087431,-0.008212007,-0.45955616
0.0,-0.17030792,-0.0097707575,-0.45904872
0.0,-0.16966811,-0.011319958,-0.45854154
0.0,-0.16981474,-0.013240975,-0.45790872
0.0,-0.17064783,-0.015388544,-0.45721874
0.0,-0.17163084,-0.017422011,-0.45661202
0.0,-0.17254777,-0.019723466,-0.45583966
0.0,-0.173453,-0.022339417,-0.45487854
0.0,-0.1733479,-0.024275025,-0.4541994
0.0,-0.1738914,-0.026033487,-0.45372432
0.0,-0.17443515,-0.027059617,-0.4537097
0.0,-0.17467335,-0.028009294,-0.45372617
0.0,-0.17568268,-0.029136287,-0.4537158
0.0,-0.17569594,-0.030441007,-0.4535462
0.0,-0.17556946,-0.031106113,-0.45378685
0.0,-0.17556316,-0.03116568,-0.45443606
0.0,-0.17528252,-0.030927418,-0.45528522
0.0,-0.17474991,-0.030514864,-0.45626608
0.0,-0.17511448,-0.030603783,-0.45697075
