Env,air_speed
0.0,20.000061
0.0,33.182716
0.0,33.152477
0.0,33.00421
0.0,32.984028
0.0,32.920055
0.0,32.869373
0.0,32.75911
0.0,32.65741
0.0,32.544487
0.0,32.483246
0.0,32.376022
0.0,32.24512
0.0,32.241528
0.0,32.2196
0.0,32.21324
0.0,32.081947
0.0,31.963678
0.0,31.794329
0.0,31.683859
0.0,31.539957
0.0,31.456743
0.0,31.402626
0.0,31.365768
0.0,31.287989
0.0,31.204271
0.0,31.121796
0.0,31.049084
0.0,30.960337
0.0,30.921349
0.0,30.786037
0.0,30.704895
0.0,30.542418
0.0,30.35303
0.0,30.279165
0.0,30.241177
0.0,30.124565
0.0,30.014292
0.0,29.90969
0.0,29.79852
0.0,29.672026
0.0,29.603693
0.0,29.53956
0.0,29.411327
0.0,29.304844
0.0,29.190527
0.0,29.08294
0.0,28.96608
0.0,28.881596
0.0,28.86619
0.0,28.76901
0.0,28.709778
0.0,28.69977
0.0,28.653786
0.0,28.59213
0.0,28.474878
0.0,28.433094
0.0,28.35272
0.0,28.341246
0.0,28.28504
0.0,28.201845
0.0,28.132843
0.0,28.06524
0.0,28.041063
0.0,28.02598
0.0,27.908936
0.0,27.815733
0.0,27.764881
0.0,27.699162
0.0,27.676184
0.0,27.618448
0.0,27.578882
0.0,27.535437
0.0,27.527369
0.0,27.491552
0.0,27.444263
0.0,27.42062
0.0,27.301327
0.0,27.246454
0.0,27.152832
0.0,27.04644
0.0,26.991621
0.0,26.957708
0.0,26.904476
0.0,26.84287
0.0,26.750437
0.0,26.66925
0.0,26.609823
0.0,26.584028
0.0,26.512398
0.0,26.44172
0.0,26.340221
0.0,26.269785
0.0,26.25551
0.0,26.222374
0.0,26.165089
0.0,26.14143
0.0,26.056437
0.0,26.023836
0.0,25.90643
0.0,25.88094
0.0,25.891775
0.0,25.887009
0.0,25.860775
0.0,25.864285
0.0,25.868282
0.0,25.876474
0.0,25.80146
0.0,25.810886
0.0,25.766865
0.0,25.717695
0.0,25.700819
0.0,25.728786
0.0,25.731543
0.0,25.749643
0.0,25.780766
0.0,25.814283
0.0,25.827717
0.0,25.88328
0.0,25.90657
0.0,25.965263
0.0,26.013422
0.0,25.994526
0.0,26.032635
0.0,26.008127
0.0,25.977743
0.0,26.023567
0.0,25.981356
0.0,26.025259
0.0,26.024527
0.0,26.07292
0.0,26.021639
0.0,25.98945
0.0,26.015612
0.0,25.998669
0.0,25.994492
0.0,26.014765
0.0,26.001188
0.0,26.013842
0.0,26.00574
0.0,25.959114
0.0,25.903383
0.0,25.854612
0.0,25.858408
0.0,25.842695
0.0,25.785835
0.0,25.712337
0.0,25.688892
0.0,25.64856
0.0,25.575443
0.0,25.577269
0.0,25.56716
0.0,25.545202
0.0,25.473505
0.0,25.413336
0.0,25.351107
0.0,25.32879
