Env,ground_speed
0.0,0.04905
0.0,34.071377
0.0,34.033104
0.0,33.889038
0.0,33.88405
0.0,33.845566
0.0,33.830433
0.0,33.764957
0.0,33.69749
0.0,33.61329
0.0,33.55996
0.0,33.45834
0.0,33.31089
0.0,33.28957
0.0,33.258366
0.0,33.23628
0.0,33.091537
0.0,32.965378
0.0,32.80226
0.0,32.70864
0.0,32.593994
0.0,32.56108
0.0,32.55861
0.0,32.568813
0.0,32.536797
0.0,32.48924
0.0,32.448727
0.0,32.418327
0.0,32.374203
0.0,32.391296
0.0,32.313065
0.0,32.30482
0.0,32.22552
0.0,32.11857
0.0,32.101902
0.0,32.101364
0.0,32.026634
0.0,31.944921
0.0,31.853914
0.0,31.745754
0.0,31.610487
0.0,31.518154
0.0,31.402027
0.0,31.242695
0.0,31.09945
0.0,30.92116
0.0,30.774899
0.0,30.60174
0.0,30.471285
0.0,30.424534
0.0,30.320309
0.0,30.248043
0.0,30.212294
0.0,30.154465
0.0,30.082119
0.0,29.935678
0.0,29.866938
0.0,29.757809
0.0,29.730614
0.0,29.674076
0.0,29.59739
0.0,29.516298
0.0,29.441423
0.0,29.418777
0.0,29.413921
0.0,29.33813
0.0,29.262566
0.0,29.246466
0.0,29.211412
0.0,29.214275
0.0,29.166403
0.0,29.144396
0.0,29.118944
0.0,29.123522
0.0,29.111557
0.0,29.079538
0.0,29.063454
0.0,28.971647
0.0,28.934439
0.0,28.855436
0.0,28.75773
0.0,28.700365
0.0,28.643314
0.0,28.577566
0.0,28.500706
0.0,28.390589
0.0,28.286665
0.0,28.199102
0.0,28.133581
0.0,28.019672
0.0,27.916298
0.0,27.76911
0.0,27.666134
0.0,27.617556
0.0,27.554348
0.0,27.469723
0.0,27.410181
0.0,27.296915
0.0,27.229588
0.0,27.071775
0.0,27.008856
0.0,26.986345
0.0,26.949709
0.0,26.88973
0.0,26.8672
0.0,26.844349
0.0,26.822725
0.0,26.72555
0.0,26.707825
0.0,26.630882
0.0,26.549726
0.0,26.508894
0.0,26.51005
0.0,26.488613
0.0,26.47825
0.0,26.483458
0.0,26.489124
0.0,26.477013
0.0,26.505383
0.0,26.501793
0.0,26.534185
0.0,26.557522
0.0,26.511536
0.0,26.526173
0.0,26.476435
0.0,26.42485
0.0,26.448374
0.0,26.383266
0.0,26.406881
0.0,26.385637
0.0,26.415514
0.0,26.347315
0.0,26.298542
0.0,26.307348
0.0,26.274576
0.0,26.253376
0.0,26.25779
0.0,26.230303
0.0,26.229336
0.0,26.207788
0.0,26.148916
0.0,26.080435
0.0,26.019693
0.0,26.012901
0.0,25.987442
0.0,25.92159
0.0,25.839085
0.0,25.807528
0.0,25.759811
0.0,25.67969
0.0,25.674625
0.0,25.658123
0.0,25.630102
