train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/n_updates,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean
2.662367820739746,0.00745528656989336,0.0003,0.018164336681365967,0.8287259936332703,100660,4,215.25,19,861,44,-322.40747825
2.512333631515503,0.05956433340907097,0.0003,0.01839091069996357,-0.3783670961856842,101099,8,162.5,31,1300,41,-176.82973087500002
2.4366912841796875,0.01943175308406353,0.0003,0.018178105354309082,-0.7090638279914856,101682,12,156.91666666666666,45,1883,41,-130.9686154166667
2.5755553245544434,0.015760550275444984,0.0003,0.016794998198747635,-1.0435011386871338,102283,16,155.25,60,2484,41,-110.2055883125
2.5749878883361816,0.01842731423676014,0.0003,0.015402831137180328,-0.20329564809799194,102857,20,152.9,74,3058,40,-96.7730237
2.590404748916626,0.006888542324304581,0.0003,0.01473584957420826,-0.3455522060394287,103416,24,150.70833333333334,89,3617,40,-87.42432475
2.534329652786255,0.06559979170560837,0.0003,0.014075635001063347,-0.5188353657722473,103988,28,149.60714285714286,103,4189,40,-81.61204178571428
2.539182662963867,0.06024171784520149,0.0003,0.013856236822903156,-0.23524579405784607,104575,32,149.25,117,4776,40,-78.025727875
2.444936752319336,0.013600542210042477,0.0003,0.013778549619019032,-0.13184842467308044,105137,36,148.27777777777777,132,5338,40,-74.20768511111112
2.6156394481658936,0.038921259343624115,0.0003,0.013668593019247055,0.3434258699417114,105839,40,151.0,150,6040,40,-72.06659239999999
2.411775588989258,0.035218991339206696,0.0003,0.013778372667729855,0.21661949157714844,106419,44,150.45454545454547,165,6620,40,-75.07546445454544
2.49021577835083,0.06549426913261414,0.0003,0.013972545973956585,0.022143684327602386,107164,48,153.4375,185,7365,39,-73.54556414583334
2.385929822921753,0.058246877044439316,0.0003,0.016506019979715347,0.5351046323776245,107753,52,152.96153846153845,200,7954,39,-70.7252401923077
2.3919451236724854,0.034171879291534424,0.0003,0.019084149971604347,-0.311470091342926,108400,56,153.58928571428572,216,8601,39,-69.58390960714286
2.4634580612182617,0.033630482852458954,0.0003,0.020385053008794785,0.8822776079177856,108899,60,151.66666666666666,229,9100,39,-67.70020376666668
2.6966233253479004,0.059934429824352264,0.0003,0.02049785666167736,0.5844998955726624,109497,64,151.53125,245,9698,39,-66.7895274375
2.786804676055908,0.2211240828037262,0.0003,0.02038845792412758,0.18752416968345642,110160,68,152.36764705882354,262,10361,39,-66.92098936764705
2.9045939445495605,0.03865628316998482,0.0003,0.020156433805823326,-0.5948545932769775,110697,72,151.36111111111111,276,10898,39,-65.89554152777777
2.8497745990753174,0.027112677693367004,0.0003,0.01958373934030533,0.30519938468933105,111298,76,151.30263157894737,289,11499,39,-65.15352273684209
2.8429465293884277,0.08000139892101288,0.0003,0.01891731098294258,-0.4790533185005188,111882,80,151.0375,303,12083,39,-64.3802800375
2.7346816062927246,0.07027341425418854,0.0003,0.019045768305659294,-0.09150630980730057,112468,84,150.82142857142858,316,12669,40,-63.93095975
2.858903646469116,0.025037752464413643,0.0003,0.018908005207777023,-0.22692768275737762,112948,88,149.42045454545453,327,13149,40,-63.32323443181818
2.6070308685302734,0.024827653542160988,0.0003,0.01913577690720558,0.3595368564128876,113547,92,149.43478260869566,341,13748,40,-62.979560891304345
2.718017578125,0.039956577122211456,0.0003,0.02102326974272728,0.8134792447090149,114099,96,148.95833333333334,354,14300,40,-62.460483656250005
2.348243474960327,0.048686377704143524,0.0003,0.022043246775865555,0.6372061371803284,114878,100,150.79,374,15079,40,-62.827020730000015
2.4794695377349854,0.03897915780544281,0.0003,0.022448085248470306,0.28913870453834534,115399,104,147.39,386,15600,40,-51.61092921999999
2.279958963394165,0.0354241281747818,0.0003,0.022192830219864845,-1.218407154083252,116065,108,149.66,402,16266,40,-52.55686551000001
2.184732437133789,0.019031846895813942,0.0003,0.022453511133790016,1.0039949417114258,116675,112,149.93,416,16876,40,-52.68611669
2.2605926990509033,0.02317185327410698,0.0003,0.022185111418366432,-0.09782849252223969,117140,116,148.57,427,17341,40,-52.17732818
2.202193021774292,0.06352627277374268,0.0003,0.021305425092577934,0.06952359527349472,117727,120,148.7,441,17928,40,-52.43624421
2.2252235412597656,0.032308898866176605,0.0003,0.020320963114500046,-0.03152012079954147,118327,124,149.11,455,18528,40,-52.709887329999994
2.0364911556243896,0.029869141057133675,0.0003,0.019485672935843468,-0.23789595067501068,118963,128,149.75,469,19164,40,-52.805971279999994
2.0840935707092285,0.1074785515666008,0.0003,0.018680177628993988,-0.6008856892585754,119450,132,148.75,480,19651,40,-52.37974474999999
2.1328024864196777,0.02601192332804203,0.0003,0.018194999545812607,-0.7194427847862244,120016,136,148.79,494,20217,40,-52.61761833
2.0651583671569824,0.027753397822380066,0.0003,0.01757676713168621,-0.9867165088653564,120599,140,147.6,507,20800,40,-52.25497224
2.0755038261413574,0.018448682501912117,0.0003,0.017024025321006775,-0.6364301443099976,121225,144,148.06,521,21426,41,-50.28905104
2.1262316703796387,0.02123674377799034,0.0003,0.016660714522004128,-0.9679796695709229,121867,148,147.03,536,22068,41,-50.231340370000005
2.14831280708313,0.03240678459405899,0.0003,0.016164110973477364,-0.08163797855377197,122379,152,146.26,548,22580,41,-50.49917881
2.1743152141571045,0.02839762531220913,0.0003,0.016136717051267624,-0.2418643832206726,122999,156,145.99,562,23200,41,-50.270104579999995
2.121796131134033,0.016697123646736145,0.0003,0.015939246863126755,-0.42288756370544434,123479,160,145.8,573,23680,41,-50.003477540000006
