rollout/ep_len_mean,train/ent_coef_loss,train/ent_coef,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/n_updates,time/fps,time/total_timesteps,time/episodes,train/actor_loss,train/critic_loss
321.0,-0.7126065492630005,0.016520729288458824,24,59.257959750000005,0.0003,200983,53,1284,4,-20.2017822265625,0.4127202033996582
405.875,0.5366934537887573,0.014119659550487995,60,66.64915024999999,0.0003,202946,53,3247,8,-17.900964736938477,0.10990951955318451
403.9166666666667,-0.112854965031147,0.019821815192699432,90,79.93758358333334,0.0003,204546,53,4847,12,-22.123821258544922,0.1777307391166687
357.0,0.2272915244102478,0.022677404806017876,107,69.707714125,0.0003,205411,52,5712,16,-24.390209197998047,0.38072773814201355
350.35,0.5433849096298218,0.024797558784484863,133,70.15489790000001,0.0003,206706,52,7007,20,-23.110767364501953,9.311500549316406
371.25,0.7489907145500183,0.02659635618329048,170,83.32693754166667,0.0003,208609,52,8910,24,-24.663911819458008,1.5120465755462646
358.0,-0.26373347640037537,0.0265971552580595,192,81.43603689285715,0.0003,209723,52,10024,28,-27.798900604248047,0.35777440667152405
400.84375,-0.3771415650844574,0.026283811777830124,246,85.76322525,0.0003,212526,52,12827,32,-27.320152282714844,0.4000885784626007
397.22222222222223,-0.29520851373672485,0.024912681430578232,275,84.68700063888889,0.0003,213999,51,14300,36,-24.11328125,0.3472914695739746
396.325,0.003550589084625244,0.026152491569519043,307,81.915326725,0.0003,215552,51,15853,40,-23.29861831665039,0.45675230026245117
395.0,-0.32797950506210327,0.027677087113261223,337,84.78856172727272,0.0003,217079,51,17380,44,-25.546642303466797,0.6250751614570618
401.0625,0.6899842023849487,0.02969561517238617,374,88.04475870833333,0.0003,218950,51,19251,48,-27.996036529541016,0.8965147733688354
400.0,-0.5161330699920654,0.029044456779956818,406,87.77407780769232,0.0003,220499,51,20800,52,-29.06612777709961,0.4203447699546814
399.125,-0.0553995743393898,0.02787184715270996,437,87.63860023214285,0.0003,222050,51,22351,56,-26.381803512573242,0.7268226146697998
411.6666666666667,0.16030269861221313,0.028570491820573807,483,91.16597103333334,0.0003,224399,51,24700,60,-27.890945434570312,0.592477560043335
415.71875,-0.055285483598709106,0.02954896353185177,523,95.64177834374999,0.0003,226305,50,26606,64,-26.76601791381836,0.3534241318702698
415.6617647058824,0.047821044921875,0.028978843241930008,562,96.6477169117647,0.0003,227964,50,28265,68,-31.740154266357422,0.5020616054534912
415.27777777777777,0.07755373418331146,0.029317229986190796,601,97.9698034861111,0.0003,229599,49,29900,72,-31.14215850830078,0.5056082606315613
415.0,-1.1247414350509644,0.029258184134960175,636,99.09149211842104,0.0003,231239,49,31540,76,-28.07491683959961,0.6561051607131958
418.75,-0.48670056462287903,0.028221582993865013,678,102.29494391249999,0.0003,233199,49,33500,80,-30.473796844482422,8.176273345947266
415.1904761904762,-0.3391435742378235,0.0295393206179142,706,99.53178691666666,0.0003,234575,49,34876,84,-28.920734405517578,0.47116798162460327
413.6363636363636,-0.5314763784408569,0.03014843724668026,737,97.2952710681818,0.0003,236099,49,36400,88,-29.53849220275879,0.4752258360385895
416.44565217391306,-0.6634465456008911,0.0309146661311388,776,97.45170001086953,0.0003,238012,49,38313,92,-29.73914337158203,0.4109737277030945
418.3854166666667,0.23095586895942688,0.03055449016392231,813,99.222333875,0.0003,239864,49,40165,96,-30.71799659729004,11.235784530639648
416.0,0.283433735370636,0.029932452365756035,843,99.71730004000001,0.0003,241299,49,41600,100,-30.144922256469727,0.6017967462539673
424.01,-0.15429973602294922,0.029590090736746788,884,104.39688716000002,0.0003,243384,49,43685,104,-33.0108642578125,8.118548393249512
422.53,0.6541074514389038,0.02839350327849388,921,108.10642590999998,0.0003,245199,49,45500,108,-29.407766342163086,0.497734010219574
419.53,0.4491591453552246,0.0288502536714077,948,107.53019146999999,0.0003,246499,49,46800,112,-30.998512268066406,0.7985174655914307
428.54,-0.18079988658428192,0.030368084087967873,983,112.82025041999998,0.0003,248265,49,48566,116,-29.572513580322266,0.5346723198890686
435.55,0.32698673009872437,0.030259544029831886,1023,116.51216371999999,0.0003,250261,49,50562,120,-32.425453186035156,1.853957176208496
430.9,0.14451831579208374,0.031199337914586067,1052,113.90372624,0.0003,251699,49,52000,124,-32.33478546142578,0.5614113807678223
435.04,-0.6847571134567261,0.03129904344677925,1083,114.89696104,0.0003,253227,49,53528,128,-32.05769348144531,6.343433380126953
429.11,0.10051649063825607,0.030299441888928413,1127,117.04262179000003,0.0003,255437,49,55738,132,-31.279170989990234,0.6381982564926147
429.0,-0.26000234484672546,0.03112613409757614,1157,118.44738446000001,0.0003,256899,49,57200,136,-30.086450576782227,3.183201313018799
432.58,-0.014085888862609863,0.030454570427536964,1195,122.74506032,0.0003,258810,49,59111,140,-32.69987106323242,0.5203017592430115
437.2,-0.39210015535354614,0.030908502638339996,1234,123.05293442,0.0003,260799,49,61100,144,-33.269344329833984,0.7221382260322571
440.96,0.12327127158641815,0.030913647264242172,1279,124.11451768,0.0003,263046,49,63347,148,-32.22854232788086,0.9444704055786133
447.92,0.6855143904685974,0.030284522101283073,1322,124.97057482,0.0003,265291,49,65592,152,-31.37078094482422,0.8203607797622681
452.49,0.17082279920578003,0.03135698661208153,1362,127.03094077999998,0.0003,267299,49,67600,156,-33.26313018798828,0.7509629726409912
447.68,0.8657214045524597,0.030451474711298943,1399,125.65482014000001,0.0003,269167,49,69468,160,-32.64015197753906,0.8415104746818542
