Env,fx,fy,fz
0.0,2.9410195,-0.27270302,-0.9086079
0.0,9.559256,-0.44207305,7.1222525
0.0,1.8532771,-0.21616793,-0.76197004
0.0,2.1313186,-0.24486208,4.4767056
0.0,9.845549,-0.39496887,11.941783
0.0,7.8684845,-0.47131157,8.386536
0.0,5.312292,-0.34468645,2.3157747
0.0,8.11934,-0.26640344,-16.150234
0.0,3.137859,-0.34138244,-3.5745304
0.0,8.331174,-0.28801095,-13.191277
0.0,9.199672,-0.2738953,0.51691586
0.0,5.3655133,-0.21648407,-5.95121
0.0,3.5658123,-0.34933358,-0.55316037
0.0,10.632663,-0.4253626,-14.427488
0.0,0.45129806,-0.34330535,-6.2312975
0.0,2.2222779,-0.4432292,-5.6809373
0.0,3.5252433,-0.5430331,5.7543535
0.0,1.0730482,-0.6838456,0.20705216
0.0,9.824978,-1.0199827,-4.8720846
0.0,5.518128,-1.1949638,-1.1268274
0.0,12.301423,-1.6519386,2.442586
0.0,9.916142,-1.7202666,7.5869274
0.0,4.364509,-1.9928493,17.68726
0.0,9.103474,-2.6511855,16.26302
0.0,13.9167,-3.2898355,32.69933
0.0,14.052176,-3.7144625,16.191246
0.0,5.7093225,-3.3263543,19.085941
0.0,7.9896107,-3.6849618,23.536827
0.0,7.2592444,-4.1616955,27.786873
0.0,4.6749067,-4.1640186,22.158028
0.0,9.537252,-4.75965,19.670748
0.0,6.0668945,-4.6098533,5.1314383
0.0,10.596234,-5.128071,5.3000193
0.0,5.1131063,-4.435648,5.6917977
0.0,9.774237,-4.7487,19.631481
0.0,13.976812,-4.695674,21.63857
0.0,10.152318,-4.319437,19.790634
0.0,8.004789,-3.7638628,10.349351
0.0,4.6734853,-3.3084147,0.8080856
0.0,6.295095,-3.1285267,5.4192023
0.0,7.558093,-2.6099043,-7.6581416
0.0,2.7570467,-2.0592477,-2.5421596
0.0,1.2054118,-1.5131426,-0.9366238
0.0,6.075775,-1.1191379,1.6295455
0.0,6.833174,-0.4663626,10.864424
0.0,8.827166,-0.11661172,14.660138
0.0,1.4099417,0.4085734,7.7540336
0.0,3.3547213,0.92531097,-1.6271923
0.0,6.1696634,1.4668964,-0.12696055
0.0,9.681617,2.0239556,-1.731402
0.0,12.759579,2.5079122,16.996376
0.0,8.644831,2.9125845,16.689728
0.0,5.050952,3.049594,1.4707041
0.0,7.2333775,3.568678,-0.53526276
0.0,2.7533972,3.4743853,8.753135
0.0,3.7629018,3.8299413,9.267183
0.0,15.016219,5.304056,23.27565
0.0,9.1195755,5.1152496,17.917425
0.0,9.9476185,5.5442095,3.8454354
0.0,7.4465294,5.356932,8.020599
0.0,6.4100666,5.519604,9.181733
0.0,12.406162,6.3316116,7.702771
0.0,9.546596,6.2362914,19.398111
0.0,5.139302,5.4844303,16.017342
0.0,6.9378977,5.7955756,14.8000965
0.0,4.7437005,5.5350504,20.037708
0.0,10.734731,6.282078,17.086622
0.0,4.633023,-6.2026083e-07,-2.135219
0.0,6.860113,-0.06260872,9.67396
0.0,3.3362608,0.019375086,3.6546454
0.0,6.0416903,0.09839015,-5.789657
0.0,4.418965,0.09129092,-2.73119
0.0,9.4771385,0.24486852,0.046458364
0.0,2.2841082,0.3523245,10.390642
0.0,2.4701371,0.47860277,8.082849
0.0,6.590991,0.6179973,6.74113
0.0,4.1788855,0.6193975,19.448576
0.0,9.161356,0.77925575,10.56645
0.0,3.9198895,0.63298106,15.887865
0.0,3.3046405,0.7823726,21.102018
0.0,1.852932,0.88597345,19.191637
0.0,4.0335064,0.9631349,20.399027
0.0,3.3790503,1.0488278,12.457981
0.0,6.615139,1.3022012,19.436293
0.0,2.2335448,1.1011149,11.05564
0.0,7.1785045,1.3160453,6.0961018
0.0,7.1524606,1.2134019,1.6918528
0.0,5.949775,1.3044112,2.1252732
0.0,7.3869543,1.4199437,17.428158
0.0,4.3874288,1.2983085,9.359936
0.0,4.602824,1.200683,14.836066
0.0,7.6469564,1.3246682,2.0062528
0.0,0.5752778,1.0179976,8.328793
0.0,8.884258,1.2440665,14.752775
0.0,3.3576326,1.1726756,6.3266196
0.0,2.0683846,1.0582402,1.3605659
0.0,5.0830107,1.152278,7.0351224
0.0,8.179938,1.3134593,-2.4207811
0.0,2.501023,1.202352,5.008009
0.0,7.519024,1.4171938,10.781694
0.0,11.344088,1.4190795,-2.2578704
0.0,5.4904037,1.1461827,6.647787
0.0,7.6788664,1.05077,-0.9667077
0.0,5.1498976,0.86544,1.3048718
0.0,5.149338,0.82098496,5.019561
0.0,1.4705963,0.7004895,14.835889
0.0,1.6183026,0.62669826,16.414162
0.0,2.1622016,0.592226,16.587915
0.0,7.4051476,0.5687189,18.104244
0.0,5.4183393,0.6104338,7.4385386
0.0,3.3342218,0.6036513,10.010397
0.0,2.6928964,0.64224386,9.999222
0.0,3.6396832,0.6730537,7.415531
0.0,7.3306165,0.6758889,7.8341637
0.0,5.0629716,0.549261,11.451985
0.0,5.1205845,0.4233111,11.873755
0.0,3.9635653,0.3357048,20.810455
0.0,4.7443275,0.35133004,17.552872
0.0,3.838194,0.42208672,17.416256
0.0,8.488646,0.55149364,21.6997
0.0,7.932972,0.41706002,9.034254
0.0,3.0382555,0.28194785,14.392796
0.0,9.121684,0.23431635,15.671705
0.0,3.8087897,0.28173673,5.4213476
0.0,3.9884033,0.32144457,2.6671286
0.0,6.6005926,0.3256266,3.4416106
0.0,4.731687,0.24629247,13.035801
0.0,0.8591282,0.17644715,7.5284977
0.0,6.1650543,0.1890415,4.8989096
0.0,2.3971882,0.08352709,10.8556
0.0,2.313282,0.11902189,9.389144
0.0,5.320232,0.028486729,13.800285
0.0,6.746654,0.057585955,12.521872
0.0,4.306232,0.09346789,2.6403441
0.0,5.0315304,0.14478636,9.275723
0.0,2.6120753,0.0872584,5.459216
0.0,5.906911,0.016404636,-2.2447956
0.0,0.8064558,0.06336668,2.8866975
0.0,4.1287537,-0.004515024,-1.8036878
0.0,5.755989,-0.05845356,6.94076
0.0,1.3020357,-0.0054374933,4.2552915
0.0,4.392989,-0.04870309,-1.3690171
0.0,3.6317909,-0.025056839,3.239557
0.0,3.1981244,-0.10568118,7.0108376
0.0,1.6759554,-0.10242885,3.3621554
0.0,2.4658375,-0.09129697,5.461903
0.0,1.2228143,-0.14259644,0.965984
0.0,6.8026757,-0.23677345,-2.3108373
0.0,4.7771006,-0.27561536,-1.2733351
0.0,3.8535542,-0.3207153,7.626795
0.0,4.4954777,-0.35322684,0.91316456
0.0,4.3597093,-0.32218897,8.557629
0.0,0.9697664,-0.30656362,5.7175317
0.0,1.7530084,-0.33682746,1.6396229
0.0,5.2466874,-0.39706182,7.4832134
0.0,0.8698732,-0.29684418,2.9345927
0.0,0.8864702,-0.34201643,2.0051897
0.0,3.3787313,-0.39665973,0.880105
0.0,0.8944397,-0.39784715,0.28123438
0.0,4.884451,-0.51159334,-0.78814584
0.0,3.3899813,-0.45210773,0.584689
0.0,1.988121,-0.42874956,7.913333
0.0,0.8590802,-0.41625226,6.9532194
0.0,0.8624208,-0.41753364,6.8713202
0.0,2.5993888,-0.48448813,3.527019
0.0,1.5367111,-0.41902614,5.682846
0.0,6.27103,-0.53449154,2.0767982
0.0,4.325759,-0.5161114,9.285794
0.0,2.352186,-0.4452597,7.1374345
0.0,3.2231677,-0.4655282,0.94494444
0.0,3.1058745,-0.45198274,7.1936255
0.0,1.2065141,-0.42581457,3.8478477
0.0,5.164324,-0.551955,6.40765
0.0,1.6046984,-0.42335603,-0.22978032
0.0,4.8389397,-0.48714805,-0.8849374
0.0,4.0445657,-0.4855497,5.0028057
0.0,3.8976529,-0.5005563,-0.9458474
0.0,2.8667858,-0.44068682,-0.047364235
0.0,1.2161944,-0.384704,5.0418267
0.0,2.5130537,-0.37694323,5.2600603
0.0,2.3694053,-0.40149128,3.660325
0.0,2.8236723,-0.4283769,2.4953828
0.0,4.858801,-0.46890163,8.876759
0.0,0.6806221,-0.31548715,6.678486
0.0,4.5263023,-0.37308115,2.7123382
0.0,0.90619826,-0.32719195,7.04425
0.0,3.4590268,-0.36723518,8.577611
0.0,1.0321283,-0.31235886,4.0100875
0.0,2.7929475,-0.34656078,4.247293
0.0,2.0358574,-0.2701446,1.5656922
0.0,1.5287094,-0.24646097,2.6335826
0.0,2.3607857,-0.22601056,3.7051706
0.0,1.8738272,-0.23329598,3.3276644
0.0,2.794443,-0.24322999,8.118952
0.0,0.5774342,-0.22863472,6.3956456
0.0,3.2632198,-0.26100528,8.749156
0.0,1.4222095,-0.2110331,3.619812
0.0,3.3187451,-0.22523892,2.0219283
0.0,1.63543,-0.23540986,5.5003366
0.0,3.5934136,-0.19796735,3.6754267
0.0,3.3076868,-0.14699972,8.286482
0.0,1.6957593,-0.117945135,5.3325167
0.0,4.253358,-0.15120292,6.884133
0.0,3.1675801,-0.09392345,5.5197926
0.0,4.274692,-0.060901254,-1.3460487
0.0,0.6841978,-0.0049090683,2.669048
0.0,2.5737128,-0.00036331266,-1.7470173
0.0,1.4683524,0.022395566,0.34224063
0.0,3.4385972,0.015152656,-0.5775207
0.0,0.19447273,0.05217415,3.387526
0.0,0.6169167,0.06338668,3.9467344
0.0,3.010148,0.09750247,6.2566266
0.0,1.4442708,0.09113598,4.576728
0.0,2.4277556,0.1087906,-0.25383836
0.0,2.794655,0.13145597,0.1852619
0.0,0.23921925,0.118055105,3.627367
0.0,2.9707332,0.14448929,6.0628386
0.0,0.36256906,0.14118475,2.6115546
0.0,1.8081295,0.1482301,1.9221631
0.0,1.771556,0.12738913,4.5467973
0.0,1.6375723,0.13789006,-0.25580996
0.0,4.3587446,0.1581626,4.7000155
0.0,0.07292487,0.16082317,1.2692707
0.0,1.6865755,0.18259078,2.1793213
0.0,1.278619,0.16264492,0.65666425
0.0,0.388941,0.13969564,0.44642726
0.0,2.0289052,0.17531532,-1.4079397
0.0,0.4883943,0.17757908,-0.2815893
0.0,3.7628767,0.21095073,3.8092113
0.0,0.8021246,0.16052836,2.0844684
0.0,0.5324093,0.1691235,-0.35911667
0.0,1.5442984,0.18927693,-0.31818867
0.0,2.475428,0.17047739,3.0626616
0.0,1.4031057,0.16094139,1.7890391
0.0,0.48390114,0.15363204,-0.13185893
0.0,0.8029972,0.14577189,-0.121933945
0.0,0.32701164,0.15166141,-1.1506108
0.0,2.8334334,0.17429045,0.2592016
0.0,2.067234,0.15676662,-3.2870631
0.0,0.3245843,0.15462497,-3.1773076
0.0,1.6185771,0.14842251,-2.4213235
0.0,2.5836895,0.12628485,-1.2146549
0.0,3.446233,0.12751788,-5.744505
0.0,2.3363352,0.11989305,-1.340827
0.0,3.4216037,0.11620552,-1.7785645
0.0,3.237819,0.094400525,-7.1309614
0.0,2.4765534,0.061205387,-2.919665
0.0,1.5826313,0.06505656,-4.258295
0.0,0.85279715,0.03041622,-2.585833
0.0,2.8624299,0.012740463,-5.3445997
0.0,0.58177185,-0.0037582964,-2.3051133
0.0,0.77337384,-0.036084868,-0.54753876
0.0,2.5344183,-0.06500779,-2.7311206
0.0,1.3358526,-0.109443456,1.155747
0.0,2.2450984,-0.10726572,-1.5756793
0.0,0.22905886,-0.123296574,1.6138678
0.0,1.944704,-0.16787894,0.94543517
0.0,2.1469774,-0.1889739,5.449867
0.0,2.4084072,-0.21584326,4.8524294
0.0,1.1277698,-0.23807395,1.4110286
0.0,3.4772608,-0.33090872,5.61913
0.0,4.5139623,-0.38257998,0.33458513
0.0,1.8357625,-0.33619207,1.1202415
0.0,0.7706252,-0.36166468,4.431696
0.0,0.6204845,-0.4036088,4.287512
0.0,0.45354253,-0.44208735,3.453442
0.0,2.6981483,-0.5514293,2.3342752
0.0,2.5224483,-0.5702754,2.9285536
0.0,1.2632738,-0.600661,6.5663605
0.0,4.4586196,-0.7892137,7.4954786
0.0,0.8313249,-0.63213676,3.920302
0.0,2.3338666,-0.7433469,2.8975894
0.0,3.9509163,-0.8833109,7.574482
0.0,3.2582622,-0.8611818,6.948432
0.0,1.5354514,-0.83448076,3.8574052
0.0,1.3482778,-0.8853749,3.2803977
0.0,3.2704363,-1.05655,2.674406
0.0,1.4267292,-1.0132384,4.08263
0.0,1.724981,-1.1089705,7.296176
0.0,5.4144564,-1.4342837,8.138111
0.0,1.7032825,-1.1556573,3.9553995
0.0,2.5053158,-1.2886474,6.066595
0.0,2.0513945,-1.2689807,4.9873137
0.0,2.2937834,-1.3078493,3.8461723
0.0,1.9343076,-1.3455439,4.2507877
0.0,1.5577574,-1.3816749,5.544717
0.0,2.8393464,-1.5268935,2.0621018
0.0,2.4980805,-1.551937,2.1746905
0.0,1.469107,-1.5061725,3.8330302
0.0,1.7350258,-1.5954393,5.9889374
0.0,5.728998,-2.0622423,7.2849607
0.0,1.7099458,-1.6205698,3.1208277
0.0,1.4393318,-1.6337031,3.5585043
0.0,2.2243195,-1.7622359,4.9673595
0.0,3.8934379,-1.9933118,6.1613345
0.0,2.9118278,-1.8643378,0.730193
0.0,2.839447,-1.8707726,2.5906672
0.0,2.1094418,-1.7730916,4.781602
0.0,3.836374,-1.9654912,0.69584197
0.0,3.937575,-1.9869043,1.1714171
0.0,3.603541,-1.9731224,5.60117
0.0,2.5869446,-1.8114952,3.3179922
0.0,3.741709,-1.8922658,6.2911654
0.0,1.8323498,-1.6416993,4.1404896
0.0,3.6319494,-1.7844429,0.7916173
0.0,0.92209095,-1.4369323,3.5716138
0.0,1.5393069,-1.4546103,2.7719514
0.0,1.536948,-1.3883429,2.4991984
0.0,4.832396,-1.5952871,5.3378363
0.0,3.1609516,-1.4043728,5.218821
0.0,1.0999848,-1.1743866,2.35361
0.0,1.723856,-1.1610914,1.5201623
0.0,1.1794865,-1.0606755,1.0048579
0.0,1.6285737,-1.017867,0.926145
0.0,1.2051258,-0.9169028,0.38904837
0.0,3.2811368,-0.93176717,0.21451199
0.0,0.60200477,-0.6809659,-2.9233885
0.0,1.9876952,-0.63769937,-1.383968
0.0,0.30688775,-0.4665787,-3.1757717
0.0,1.8300167,-0.39470232,-5.0254526
0.0,2.8094075,-0.27910548,-0.94068587
0.0,3.951026,-0.17727003,-6.041918
0.0,0.8244405,-0.03952676,-3.8509507
0.0,1.876969,0.0900351,-2.4679477
0.0,1.6069391,0.1845959,-1.4154496
0.0,0.935609,0.2716569,-3.3061125
0.0,3.6646943,0.48324287,-3.7181442
0.0,0.61385345,0.503337,-1.4536505
0.0,2.4020083,0.71043026,2.7577527
0.0,1.0016774,0.7527551,-0.94133246
0.0,1.1288028,0.88441795,1.6468208
0.0,0.39366668,0.95859504,1.1374724
0.0,1.7946923,1.1787643,1.5463274
0.0,0.5022734,1.1975194,0.6985292
0.0,1.1055855,1.3586361,0.28514525
0.0,1.1372095,1.4817605,0.66106516
0.0,3.3861666,1.8138689,-2.6180205
0.0,3.0078902,1.8708277,-2.071868
0.0,2.1360955,1.8710927,0.49511197
0.0,2.989909,2.0945904,-0.3088258
0.0,4.902576,2.4505515,0.6821632
0.0,1.8632833,2.1092067,4.661922
0.0,3.044352,2.3513193,4.904946
0.0,4.699769,2.7148647,7.4781737
0.0,2.9751287,2.4992614,5.4422784
0.0,4.4303966,2.8160312,6.5753946
0.0,3.6429563,2.738271,1.1161684
0.0,4.856978,2.9842927,1.3694067
0.0,5.416211,3.141453,1.9986283
0.0,3.2752929,2.7987916,4.89763
0.0,5.4087667,3.1656585,3.2954195
0.0,2.4100547,2.7059386,6.545438
0.0,2.905622,2.8139548,5.4542623
0.0,3.5289035,2.9533997,7.069234
0.0,4.441537,3.1496072,7.979739
0.0,3.1307344,2.8670447,5.542843
0.0,4.426749,3.0805562,5.1838512
0.0,2.6409261,2.7734957,7.254819
0.0,2.9467604,2.814474,7.431864
0.0,5.3632298,3.2403026,10.465977
0.0,3.7589417,1.8030405e-06,-3.779876
0.0,2.4096951,-0.016351243,5.1190042
0.0,1.0585517,-0.034357347,4.0714297
0.0,2.9780889,-0.009937957,5.8431196
0.0,1.8668265,-0.012461752,-0.5770209
0.0,4.2723737,-0.029777601,4.8609095
0.0,1.3857052,-0.031612933,-1.2368159
0.0,1.1312104,-0.040715836,2.9326215
0.0,1.0720508,0.000110346824,-0.28503266
0.0,4.6249285,0.06706524,-2.700323
0.0,2.9685879,0.109424904,-1.5980636
0.0,2.1111274,0.124701634,0.5916925
0.0,2.197265,0.13208829,6.28558
0.0,1.0739014,0.12033652,5.870164
0.0,2.6649618,0.18395756,3.4714956
0.0,3.0358877,0.2538217,7.480939
0.0,1.9541131,0.2736735,5.523489
0.0,2.731066,0.28920817,0.5350638
0.0,1.1188606,0.2691295,4.219942
0.0,2.984353,0.30495918,5.4489408
0.0,3.0969963,0.32861668,-0.26474667
0.0,2.0915658,0.30016795,1.3612504
0.0,0.8329179,0.30443412,1.5179946
0.0,0.2487964,0.3022459,3.2800422
0.0,0.37781858,0.3126869,3.5417097
0.0,2.2117877,0.3683924,1.1152537
0.0,3.0523233,0.39725593,5.677347
0.0,1.8553934,0.3462882,1.2622787
0.0,2.0964277,0.344357,1.9855965
0.0,0.9781922,0.3178121,4.700245
0.0,1.6792367,0.3317932,2.5903082
0.0,0.4324081,0.29711062,4.5843263
0.0,1.9833199,0.31126016,2.9491258
0.0,2.8484862,0.30509418,6.548562
0.0,2.0918372,0.27660817,3.1523407
0.0,0.78579617,0.24211726,5.0595293
0.0,1.6622796,0.22452936,4.7127895
0.0,0.94584894,0.16884795,4.4734187
0.0,1.6248771,0.16111603,5.436604
0.0,2.4190025,0.12284078,3.5359755
0.0,1.8994793,0.07145144,3.9706209
0.0,1.5210099,0.048111532,5.0152316
0.0,1.427609,0.03174368,5.729984
0.0,2.5248206,-0.015956722,6.843898
0.0,2.251529,-0.05702532,6.2850633
0.0,1.0022646,-0.085198276,4.95911
0.0,0.8956188,-0.11797714,3.0315232
0.0,0.6829536,-0.15309738,3.1372952
