Env,px,py,pz,q1,q2,q3,q4,vx,vy,vz,wx,wy,wz
0.0,-8.993034,24.057076,7.4270926,0.7071129,-0.34102175,-0.21135382,0.5822587,-6.2840505,17.223143,-3.381607,0.11816122,-0.5489549,-0.030260786
0.0,-9.055875,24.229307,7.3932767,0.70798254,-0.34260064,-0.20970169,0.5808706,-6.2397914,17.250969,-3.449802,0.14166018,-0.60627264,-0.006210828
0.0,-9.118273,24.401817,7.3587785,0.7090156,-0.34423327,-0.20781524,0.5793214,-6.1730857,17.27514,-3.511222,0.16364563,-0.69068265,0.10007023
0.0,-9.180003,24.574568,7.323666,0.71037495,-0.34570688,-0.2053572,0.57765275,-6.0734663,17.278564,-3.56356,0.15104486,-0.7718329,0.30413687
0.0,-9.240738,24.747353,7.2880306,0.71212316,-0.34669772,-0.20199661,0.5760893,-6.0845504,17.249846,-3.649847,0.122009985,-0.73889107,0.23546623
0.0,-9.301583,24.919851,7.251532,0.7136235,-0.34786174,-0.19889742,0.5746074,-6.0803084,17.146418,-3.7366328,0.018913552,-0.6028982,0.08288592
0.0,-9.362387,25.091316,7.2141657,0.7144183,-0.34927773,-0.19654006,0.573571,-6.066683,17.138298,-3.8147912,-0.08659154,-0.52020246,0.10746586
0.0,-9.423054,25.2627,7.1760178,0.7148662,-0.35046953,-0.1942217,0.57307535,-5.976213,17.09223,-3.8713217,-0.3023557,-0.37342244,0.25463557
0.0,-9.482816,25.433622,7.1373043,0.7148061,-0.3509217,-0.1916268,0.57374686,-6.0005755,16.99056,-3.969301,-0.28610086,-0.35828462,0.11352575
0.0,-9.542822,25.603527,7.0976114,0.7145258,-0.35181695,-0.1895181,0.57424796,-5.987835,16.973202,-4.0495577,-0.28181097,-0.41136172,0.2054725
