Env,air_speed
0.0,0.050057825
0.0,28.8229
0.0,28.87789
0.0,28.828245
0.0,28.86591
0.0,28.914185
0.0,28.978336
0.0,28.888409
0.0,28.826036
0.0,28.90172
0.0,28.92632
0.0,28.880173
0.0,28.834158
0.0,28.890064
0.0,28.917606
0.0,28.87503
0.0,28.86829
0.0,28.882927
0.0,28.917858
0.0,28.94235
0.0,28.9616
0.0,29.005411
0.0,28.983587
0.0,28.958021
0.0,28.98524
0.0,28.927635
0.0,28.86469
0.0,28.796652
0.0,28.789494
0.0,28.652077
0.0,28.590408
0.0,28.557692
0.0,28.524033
0.0,28.477386
0.0,28.342852
0.0,28.29936
0.0,28.25111
0.0,28.227543
0.0,28.1579
0.0,28.160131
0.0,28.05721
0.0,28.037876
0.0,28.03403
0.0,27.982765
0.0,27.916416
0.0,27.787952
0.0,27.73486
0.0,27.687262
0.0,27.665104
0.0,27.60673
0.0,27.509201
0.0,27.407322
0.0,27.31779
0.0,27.283726
0.0,27.20529
0.0,27.107277
0.0,27.046352
0.0,26.98612
0.0,26.816444
0.0,26.769043
0.0,26.686453
0.0,26.65099
0.0,26.59117
0.0,26.507875
0.0,26.412054
0.0,26.356419
0.0,26.327963
0.0,26.222723
0.0,26.150108
0.0,26.12653
0.0,26.079773
0.0,26.014507
0.0,25.980673
0.0,25.962793
0.0,25.906612
0.0,25.886702
0.0,25.813868
0.0,25.757488
0.0,25.731298
0.0,25.6884
0.0,25.567528
0.0,25.501205
0.0,25.484358
0.0,25.41219
0.0,25.314745
0.0,25.227531
0.0,25.21271
0.0,25.18528
0.0,25.097881
0.0,25.092495
0.0,25.060425
0.0,24.994474
0.0,24.919548
0.0,24.84789
0.0,24.737906
0.0,24.71488
0.0,24.656748
0.0,24.628635
0.0,24.619764
0.0,24.621824
0.0,24.568565
0.0,24.504215
0.0,24.44831
0.0,24.364256
0.0,24.306622
0.0,24.274874
0.0,24.194698
0.0,24.181353
0.0,24.18166
0.0,24.1284
0.0,24.099405
0.0,24.027596
0.0,24.019411
0.0,23.959538
0.0,23.910233
0.0,23.881306
0.0,23.855871
0.0,23.802809
0.0,23.79521
0.0,23.71386
0.0,23.703735
0.0,23.67464
0.0,23.60685
0.0,23.593916
0.0,23.515795
0.0,23.498999
0.0,23.399256
0.0,23.341383
