Env,ground_speed
0.0,0.04905
0.0,27.816381
0.0,27.768421
0.0,27.60906
0.0,27.552097
0.0,27.503227
0.0,27.477219
0.0,27.310837
0.0,27.170254
0.0,27.146284
0.0,27.066336
0.0,26.924757
0.0,26.74574
0.0,26.682173
0.0,26.588995
0.0,26.40233
0.0,26.269613
0.0,26.15887
0.0,26.082405
0.0,25.993206
0.0,25.92322
0.0,25.866146
0.0,25.726727
0.0,25.619753
0.0,25.54145
0.0,25.409632
0.0,25.22347
0.0,25.038202
0.0,24.954123
0.0,24.761808
0.0,24.602283
0.0,24.49053
0.0,24.359465
0.0,24.216063
0.0,23.993532
0.0,23.888659
0.0,23.803629
0.0,23.757896
0.0,23.68135
0.0,23.638954
0.0,23.520418
0.0,23.439667
0.0,23.37816
0.0,23.282711
0.0,23.148655
0.0,22.942186
0.0,22.840271
0.0,22.770452
0.0,22.696417
0.0,22.62208
0.0,22.464756
0.0,22.311289
0.0,22.229168
0.0,22.168419
0.0,22.091179
0.0,21.990358
0.0,21.905546
0.0,21.775585
0.0,21.534988
0.0,21.438917
0.0,21.299135
0.0,21.226273
0.0,21.130764
0.0,21.027588
0.0,20.94843
0.0,20.885784
0.0,20.847347
0.0,20.730505
0.0,20.651258
0.0,20.658207
0.0,20.647566
0.0,20.594728
0.0,20.598703
0.0,20.601675
0.0,20.58414
0.0,20.562832
0.0,20.511768
0.0,20.474577
0.0,20.437658
0.0,20.389013
0.0,20.2248
0.0,20.11723
0.0,20.080706
0.0,20.02308
0.0,19.937593
0.0,19.808308
0.0,19.763464
0.0,19.731485
0.0,19.60858
0.0,19.591654
0.0,19.555006
0.0,19.455742
0.0,19.357088
0.0,19.313416
0.0,19.231504
0.0,19.196459
0.0,19.110289
0.0,19.063456
0.0,19.056347
0.0,19.058905
0.0,18.99615
0.0,18.932123
0.0,18.88617
0.0,18.86612
0.0,18.838428
0.0,18.85497
0.0,18.832495
0.0,18.841078
0.0,18.859676
0.0,18.801725
0.0,18.771984
0.0,18.701857
0.0,18.710869
0.0,18.700357
0.0,18.659971
0.0,18.650534
0.0,18.667484
0.0,18.63173
0.0,18.659256
0.0,18.642994
0.0,18.666334
0.0,18.67796
0.0,18.65837
0.0,18.652086
0.0,18.572351
0.0,18.57629
0.0,18.516117
0.0,18.451054
