time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss
4,-0.091625,1,2,1.0,4,,,,,,
8,-0.109753625,1,5,1.125,9,,,,,,
12,-0.12517616666666667,1,7,1.0833333333333333,13,,,,,,
16,-0.140147625,2,9,1.25,20,,,,,,
20,-0.12470355,2,12,1.25,25,,,,,,
24,-0.12448583333333334,2,14,1.3333333333333333,32,,,,,,
28,-0.13660267857142858,2,16,1.3571428571428572,38,,,,,,
32,-0.1314989375,2,19,1.3125,42,,,,,,
36,-0.1376297222222222,2,21,1.3333333333333333,48,,,,,,
40,-0.1350177,2,23,1.3,52,,,,,,
44,-0.12995231818181818,2,26,1.2727272727272727,56,,,,,,
48,-0.12575781249999998,2,28,1.2916666666666667,62,,,,,,
52,-0.13020836538461536,2,30,1.3076923076923077,68,,,,,,
56,-0.14256392857142858,2,33,1.3392857142857142,75,,,,,,
60,-0.14980583333333333,2,35,1.3666666666666667,82,,,,,,
64,-0.144511625,2,38,1.375,88,,,,,,
68,-0.15616985294117647,2,40,1.3823529411764706,94,,,,,,
72,-0.1495230416666667,2,42,1.3611111111111112,98,,,,,,
76,-0.14909238157894739,2,45,1.355263157894737,103,-0.0014870844315737486,0.9997000694274902,0.0003,2,0.9233187437057495,-1.9607651233673096
80,-0.144483625,2,47,1.3375,107,-0.007504803128540516,0.9985001683235168,0.0003,6,0.8928134441375732,-2.05000638961792
84,-0.14345953571428569,2,50,1.3333333333333333,112,-0.015064339153468609,0.9970011711120605,0.0003,11,0.8521536588668823,-2.1531338691711426
88,-0.1407159090909091,2,52,1.3181818181818181,116,-0.02124866656959057,0.9958034157752991,0.0003,15,0.7074176073074341,-2.2534358501434326
92,-0.1456716195652174,2,55,1.326086956521739,122,-0.030298568308353424,0.9940090179443359,0.0003,21,0.7349361181259155,-2.3426098823547363
96,-0.14398992708333333,2,57,1.3333333333333333,128,-0.03937486559152603,0.9922182559967041,0.0003,27,0.5506053566932678,-2.3487424850463867
100,-0.14364198000000003,2,60,1.33,133,-0.04674217104911804,0.9907281994819641,0.0003,32,0.41924554109573364,-2.412630558013916
104,-0.14494737,2,62,1.35,139,-0.05599493905901909,0.9889440536499023,0.0003,38,0.4212856888771057,-2.4337620735168457
108,-0.14518981,2,65,1.36,145,-0.06504173576831818,0.9871647357940674,0.0003,44,0.41748476028442383,-2.5160045623779297
112,-0.14412372999999998,2,67,1.37,150,-0.07217691838741302,0.985686719417572,0.0003,49,0.34034210443496704,-2.583402633666992
116,-0.14212118,2,70,1.35,155,-0.07920657843351364,0.9842129945755005,0.0003,54,0.3359968960285187,-2.5537309646606445
120,-0.14917090000000002,2,72,1.38,163,-0.09047940373420715,0.9818698763847351,0.0003,62,0.34654393792152405,-2.63144850730896
124,-0.15000774000000003,2,75,1.36,168,-0.09742781519889832,0.9804139137268066,0.0003,67,0.2862212359905243,-2.5865392684936523
128,-0.16125555000000003,2,77,1.41,179,-0.1103624552488327,0.977232813835144,0.0003,78,0.2275485396385193,-2.5883090496063232
132,-0.16331521000000002,2,80,1.44,186,-0.12213997542858124,0.9752235412597656,0.0003,85,0.22968539595603943,-2.631772041320801
136,-0.17140333000000002,2,82,1.45,193,-0.1311417818069458,0.973222553730011,0.0003,92,0.2509033679962158,-2.65337872505188
140,-0.17796229,2,85,1.49,201,-0.14035378396511078,0.9709480404853821,0.0003,100,0.23390740156173706,-2.6080574989318848
144,-0.18137232,2,87,1.53,209,-0.15331359207630157,0.968681275844574,0.0003,108,0.23790189623832703,-2.5521838665008545
148,-0.18924502,2,90,1.56,218,-0.16858071088790894,0.9661305546760559,0.0003,117,0.21910147368907928,-2.627969741821289
152,-0.19858664,2,92,1.58,226,-0.175842747092247,0.9638611078262329,0.0003,125,0.193393275141716,-2.5119361877441406
156,-0.19722553999999995,2,95,1.6,235,-0.1881333589553833,0.9613145589828491,0.0003,134,0.2019837200641632,-2.5998778343200684
160,-0.19322034000000002,2,98,1.59,241,-0.19840320944786072,0.9596262574195862,0.0003,140,0.18990299105644226,-2.6149604320526123
164,-0.1953344,2,100,1.6,248,-0.2081049382686615,0.9576539397239685,0.0003,147,0.2019161731004715,-2.6051454544067383
168,-0.19633523999999997,2,103,1.61,255,-0.2151837795972824,0.955685555934906,0.0003,154,0.21893589198589325,-2.4770116806030273
172,-0.21091632000000002,2,106,1.66,264,-0.23097781836986542,0.9531711935997009,0.0003,163,0.174535870552063,-2.480419635772705
176,-0.21151569000000003,2,109,1.68,271,-0.2386101931333542,0.9512087106704712,0.0003,170,0.1782737374305725,-2.555406332015991
180,-0.2229528,2,111,1.72,279,-0.2496340125799179,0.9489667415618896,0.0003,178,0.17739397287368774,-2.5384230613708496
184,-0.23582855,2,114,1.74,286,-0.2612553536891937,0.9470087289810181,0.0003,185,0.2005164921283722,-2.5023579597473145
188,-0.23758882,2,117,1.78,294,-0.27262359857559204,0.9447745680809021,0.0003,193,0.15084105730056763,-2.4726033210754395
192,-0.23665767999999995,2,119,1.8,302,-0.2846549153327942,0.9425436854362488,0.0003,201,0.19462883472442627,-2.466744899749756
196,-0.24298107000000002,2,122,1.81,309,-0.2934049963951111,0.9405961036682129,0.0003,208,0.17354926466941833,-2.4310362339019775
200,-0.25075281,2,124,1.84,317,-0.3036279082298279,0.9383711218833923,0.0003,216,0.15179625153541565,-2.506087064743042
204,-0.25472038999999996,2,126,1.85,324,-0.31776753067970276,0.9364296793937683,0.0003,223,0.15939876437187195,-2.474817991256714
208,-0.2601274499999999,2,129,1.88,333,-0.33062708377838135,0.9339427947998047,0.0003,232,0.16262125968933105,-2.4553050994873047
212,-0.26093532999999997,2,131,1.9,340,-0.340155690908432,0.9320103526115417,0.0003,239,0.19025973975658417,-2.4634158611297607
216,-0.26396828000000006,2,134,1.92,347,-0.34983086585998535,0.9300785660743713,0.0003,246,0.14930900931358337,-2.4572906494140625
220,-0.26096677,2,136,1.89,352,-0.35501551628112793,0.9287034273147583,0.0003,251,0.16180282831192017,-2.489053726196289
224,-0.26801682,2,139,1.91,359,-0.3578020930290222,0.9267821907997131,0.0003,258,0.17380976676940918,-2.423603057861328
228,-0.26360342000000003,2,141,1.87,366,-0.36797645688056946,0.9248631596565247,0.0003,265,0.19350579380989075,-2.480029582977295
232,-0.25936231,2,144,1.84,370,-0.3808285593986511,0.9237675666809082,0.0003,269,0.1616969257593155,-2.3848304748535156
236,-0.25723839000000004,2,146,1.87,380,-0.3954277038574219,0.9210259318351746,0.0003,279,0.18156147003173828,-2.3654069900512695
240,-0.25644635,2,149,1.87,388,-0.40759509801864624,0.9188317656517029,0.0003,287,0.18150311708450317,-2.3760576248168945
244,-0.26220116,2,151,1.87,396,-0.41180309653282166,0.9166409969329834,0.0003,295,0.1954478621482849,-2.4122836589813232
248,-0.26448576000000007,2,154,1.85,403,-0.4325885772705078,0.9147303104400635,0.0003,302,0.18599474430084229,-2.409196376800537
252,-0.26013693,2,156,1.84,410,-0.43353861570358276,0.9128181338310242,0.0003,309,0.1519867181777954,-2.3959262371063232
256,-0.26319212999999997,2,159,1.82,417,-0.44687777757644653,0.910915195941925,0.0003,316,0.14958466589450836,-2.3311190605163574
260,-0.26463385999999994,2,161,1.83,424,-0.4602469205856323,0.9090158939361572,0.0003,323,0.15109845995903015,-2.430607557296753
264,-0.26342694,2,164,1.82,430,-0.47278475761413574,0.9073935151100159,0.0003,329,0.13479895889759064,-2.289607286453247
268,-0.25318177999999997,2,166,1.8,435,-0.48029565811157227,0.906044602394104,0.0003,334,0.11647641658782959,-2.43190860748291
272,-0.24517674999999997,2,169,1.79,443,-0.4926108419895172,0.9038892388343811,0.0003,342,0.13488256931304932,-2.3389601707458496
276,-0.2455463,2,171,1.79,450,-0.4899755120277405,0.9020062685012817,0.0003,349,0.12643375992774963,-2.372387409210205
280,-0.23588465,2,174,1.79,458,-0.5129160284996033,0.8998590707778931,0.0003,357,0.15015935897827148,-2.346390724182129
284,-0.22429255999999997,2,176,1.79,465,-0.5172785520553589,0.8979853391647339,0.0003,364,0.13333317637443542,-2.398850917816162
288,-0.23609840999999995,2,179,1.8,474,-0.5321207046508789,0.8955783843994141,0.0003,373,0.13852468132972717,-2.3069865703582764
292,-0.23561561999999994,2,181,1.79,481,-0.5413035750389099,0.8937105536460876,0.0003,380,0.1417204737663269,-2.2759790420532227
296,-0.24219756,2,184,1.81,490,-0.5632830262184143,0.8913113474845886,0.0003,389,0.1549195647239685,-2.2673234939575195
300,-0.24295804000000001,2,187,1.82,499,-0.5692734718322754,0.8889144062995911,0.0003,398,0.13526254892349243,-2.312527656555176
304,-0.24656952999999998,2,189,1.82,506,-0.5717753171920776,0.8870589733123779,0.0003,405,0.15654538571834564,-2.3788394927978516
308,-0.25027956,2,192,1.83,516,-0.5998793840408325,0.8844131827354431,0.0003,415,0.12471501529216766,-2.2767820358276367
312,-0.25307368,2,194,1.84,524,-0.5967090129852295,0.8822993040084839,0.0003,423,0.1281813234090805,-2.293588161468506
316,-0.25483568000000006,2,197,1.85,532,-0.6117662191390991,0.8801946640014648,0.0003,431,0.18108294904232025,-2.307650089263916
