train/n_updates,train/critic_loss,train/ent_coef,time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/ent_coef_loss,time/episodes,train/actor_loss
11599,0.05166039615869522,0.03503326699137688,35,327,11700,74.27,5.02385962,0.0003,-8.631961822509766,160,-10.137764930725098
11909,0.0731574296951294,0.032236747443675995,35,336,12010,74.42,4.9304305699999995,0.0003,-9.428609848022461,164,-10.135847091674805
12215,0.057428598403930664,0.029668482020497322,35,344,12316,74.5,4.9900525700000005,0.0003,-10.048379898071289,168,-10.130327224731445
12520,0.09193365275859833,0.027257980778813362,35,352,12621,74.59,5.1766482400000005,0.0003,-10.285486221313477,172,-9.712224960327148
12825,0.037362463772296906,0.02504258044064045,35,361,12926,75.04,5.200309950000001,0.0003,-9.604909896850586,176,-9.551655769348145
13128,0.0762944370508194,0.023009447380900383,35,369,13229,75.07,5.31174855,0.0003,-10.088518142700195,180,-8.618376731872559
13432,0.03541126847267151,0.021072866395115852,35,378,13533,75.12,5.416271060000001,0.0003,-11.735221862792969,184,-8.546880722045898
13738,0.05331335961818695,0.019325457513332367,35,386,13839,75.13,5.434005259999999,0.0003,-10.276834487915039,188,-8.80691909790039
14039,0.03650670126080513,0.017751770094037056,35,394,14140,75.64,5.50322879,0.0003,-10.591049194335938,192,-8.126435279846191
14274,0.0686609074473381,0.016662422567605972,35,401,14375,74.92,5.468908520000001,0.0003,-9.780580520629883,196,-7.910910606384277
14570,0.08271762728691101,0.015429794788360596,35,409,14671,74.8,5.603379820000002,0.0003,-9.754697799682617,200,-7.728603839874268
14866,0.038843266665935516,0.014293170534074306,35,417,14967,74.71,5.726707270000002,0.0003,-9.730645179748535,204,-7.551462650299072
15162,0.10770808160305023,0.01328896451741457,35,426,15263,74.63,5.9320235000000014,0.0003,-7.008321762084961,208,-7.497763633728027
15458,0.04297961667180061,0.012396096251904964,35,434,15559,74.53,6.12927347,0.0003,-7.063938140869141,212,-7.3430938720703125
15721,0.0359802171587944,0.011732392013072968,35,442,15822,74.1,6.241327759999999,0.0003,-5.772482872009277,216,-7.280261039733887
16017,0.053334176540374756,0.011002328246831894,35,450,16118,74.01,6.506905519999998,0.0003,-6.969017028808594,220,-7.299130439758301
16313,0.036308541893959045,0.010315840132534504,35,458,16414,73.91,6.71556767,0.0003,-6.720028400421143,224,-6.956577777862549
16609,0.09518782794475555,0.009684109129011631,35,466,16710,74.57,6.928009889999999,0.0003,-5.635808944702148,228,-7.2027130126953125
16873,0.03831399232149124,0.009160405024886131,35,473,16974,74.14,7.005619350000001,0.0003,-4.481228828430176,232,-6.6830153465271
17168,0.046179793775081635,0.00863603688776493,35,481,17269,74.01,7.2377457099999996,0.0003,-4.065847396850586,236,-6.497768402099609
17464,0.05141548439860344,0.008129752241075039,35,489,17565,73.89,7.52422055,0.0003,-5.760281085968018,240,-6.6418962478637695
17757,0.05393259599804878,0.007645178586244583,35,497,17858,73.8,7.757370559999999,0.0003,-1.950449824333191,244,-6.554748058319092
18054,0.28125834465026855,0.00721712363883853,35,505,18155,73.68,8.02861027,0.0003,-3.950176239013672,248,-6.476678848266602
18321,0.05693560838699341,0.006848516874015331,35,513,18422,73.22,8.25994597,0.0003,-5.186811447143555,252,-6.321811676025391
18619,0.31798505783081055,0.006524370517581701,35,521,18720,73.04,8.63047613,0.0003,-0.99605393409729,256,-6.223658561706543
18917,0.27276772260665894,0.006158268544822931,35,529,19018,73.18,8.982736719999998,0.0003,-2.919006824493408,260,-6.40932559967041
19216,0.05550748482346535,0.0058243656530976295,35,537,19317,73.07,9.36346607,0.0003,-3.006253480911255,264,-6.180484294891357
