train/actor_loss,time/total timesteps,train/learning_rate,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/critic_loss,rollout/ep_len_mean,time/fps,train/n_updates,train/ent_coef_loss,time/episodes
-11.003804206848145,1300,0.0003,24,15.840876749999998,0.6980178952217102,0.3477199971675873,325.0,53,1199,-1.8106491565704346,4
-19.669836044311523,2928,0.0003,56,90.83367875,0.42994531989097595,1.1800062656402588,366.0,51,2827,-4.06995964050293,8
-21.15889549255371,4379,0.0003,85,39.527997500000005,0.28115618228912354,6.572099685668945,364.9166666666667,51,4278,-5.8424763679504395,12
-26.164913177490234,6267,0.0003,122,51.2140595625,0.16317206621170044,0.6734181642532349,391.6875,51,6166,-7.549896717071533,16
-27.218585968017578,7800,0.0003,152,46.30844069999999,0.10692115128040314,0.9515080451965332,390.0,51,7699,-7.711949348449707,20
-26.231334686279297,9100,0.0003,178,74.85415941666666,0.07573866099119186,6.602395057678223,379.1666666666667,51,8999,-7.399770736694336,24
-29.636688232421875,10400,0.0003,204,82.38627692857142,0.05466347932815552,3.962102174758911,371.42857142857144,50,10299,-6.758707523345947,28
-26.138683319091797,12278,0.0003,241,101.32836668750001,0.035519763827323914,4.405484676361084,383.6875,50,12177,-5.028888702392578,32
-39.997154235839844,14025,0.0003,276,138.94213483333334,0.02595873735845089,5.363055229187012,389.5833333333333,50,13924,-1.5178261995315552,36
-35.95964431762695,16056,0.0003,317,185.852791675,0.022806379944086075,5.285254955291748,401.4,50,15955,-0.44616901874542236,40
-48.220130920410156,17323,0.0003,342,185.2953339318182,0.024394601583480835,4.154397964477539,393.70454545454544,50,17222,0.3986208438873291,44
-44.75975036621094,18584,0.0003,368,180.78693533333333,0.02493397891521454,3.5631747245788574,387.1666666666667,50,18483,-0.7349181175231934,48
-41.984886169433594,19890,0.0003,396,177.04938453846157,0.02642573043704033,113.86439514160156,382.5,50,19789,-0.22292983531951904,52
-55.28810119628906,21237,0.0003,423,175.67326894642858,0.027858944609761238,4.433331489562988,379.23214285714283,50,21136,0.6974262595176697,56
-46.30230712890625,22898,0.0003,456,179.6407415333333,0.028224673122167587,4.584639549255371,381.6333333333333,50,22797,-0.5455060601234436,60
-50.01430130004883,24100,0.0003,481,176.74931212500002,0.029466800391674042,8.794451713562012,376.5625,50,23999,0.8077211976051331,64
-50.33211898803711,25618,0.0003,511,183.83459245588236,0.029960092157125473,29.55164909362793,376.7352941176471,50,25517,-0.46711403131484985,68
-52.070533752441406,26952,0.0003,538,185.2417166388889,0.032389771193265915,8.628219604492188,374.3333333333333,50,26851,-0.34331822395324707,72
-55.75831604003906,27969,0.0003,559,172.96344106578945,0.03352469205856323,6.143816947937012,368.0131578947368,49,27868,-0.3335077464580536,76
-57.534019470214844,29365,0.0003,587,170.99219282500002,0.03258775919675827,314.6270751953125,367.0625,49,29264,0.264015793800354,80
-45.050010681152344,30521,0.0003,611,157.11590465476195,0.033560991287231445,6.449639320373535,363.3452380952381,49,30420,-0.8631837964057922,84
-50.82999038696289,31596,0.0003,633,144.9005274659091,0.033024176955223083,89.67935943603516,359.04545454545456,49,31495,-0.5642825961112976,88
-49.47136306762695,32789,0.0003,658,138.85084854347826,0.03292575478553772,7.898055553436279,356.4021739130435,49,32688,0.023999400436878204,92
-46.28776550292969,34235,0.0003,687,142.53174868750003,0.032423149794340134,9.696673393249512,356.6145833333333,49,34134,-0.0022862330079078674,96
-50.82405471801758,35959,0.0003,722,143.15235259000002,0.032425832003355026,37.363792419433594,359.59,49,35858,0.5016624331474304,100
-38.06170654296875,37700,0.0003,758,170.37870344000004,0.034917283803224564,5.421982765197754,364.0,49,37599,-0.5934317111968994,104
-54.72617721557617,39582,0.0003,798,185.52681347,0.037426963448524475,287.86004638671875,366.54,49,39481,-0.2297467291355133,108
-54.04083251953125,40799,0.0003,823,195.84019009,0.03728433698415756,17.95901870727539,364.2,49,40698,-1.2519313097000122,112
-51.415367126464844,42153,0.0003,850,204.85768267000003,0.039156295359134674,10.083711624145508,358.86,49,42052,-0.4019494950771332,116
-41.42829895019531,43972,0.0003,887,230.90508177,0.040223512798547745,41.70405197143555,361.72,49,43871,-1.1535831689834595,120
-82.28856658935547,45500,0.0003,918,229.38274968,0.04181905463337898,84.56626892089844,364.0,49,45399,2.6442160606384277,124
-56.123291015625,47404,0.0003,957,252.91632459000002,0.04500731825828552,17.12622833251953,370.04,49,47303,0.23070374131202698,128
-66.54554748535156,49400,0.0003,997,279.22973849,0.04974140226840973,10.750214576721191,371.22,49,49299,-0.6559692621231079,132
-56.927894592285156,50700,0.0003,1024,272.87209397,0.05119304731488228,32.47099685668945,366.75,49,50599,-0.5138111710548401,136
-64.00853729248047,53025,0.0003,1071,294.73394613,0.05233398824930191,19.99123191833496,369.69,49,52924,-0.24619907140731812,140
-78.76456451416016,54600,0.0003,1103,299.63126098,0.05038853734731674,90.86770629882812,372.77,49,54499,0.11142504215240479,144
-65.55876159667969,57200,0.0003,1155,359.49301434999995,0.053426630795001984,11.40176010131836,386.16,49,57099,0.5588827133178711,148
-65.56562042236328,59158,0.0003,1196,383.04333271999997,0.056113146245479584,13.58365249633789,392.68,49,59057,0.3389405608177185,152
-71.16921997070312,62324,0.0003,1259,467.5020971600001,0.0619012825191021,18.856382369995117,410.87,49,62223,1.0555145740509033,156
-74.07405090332031,64784,0.0003,1309,524.9902701500001,0.06487643718719482,46.31047821044922,418.86,49,64683,-0.7262211441993713,160
