time/episodes,train/n_updates,train/ent_coef,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,time/fps,time/total_timesteps,train/learning_rate,train/actor_loss,time/time_elapsed
4,1438,0.6496816873550415,0.035238903015851974,-8.43940675,384.75,-2.1786105632781982,54,1539,0.0003,-12.029878616333008,28
8,2499,0.47274941205978394,0.09158244729042053,-6.5215309999999995,325.0,-3.7733583450317383,53,2600,0.0003,-15.89615249633789,48
12,3799,0.32110506296157837,0.9193901419639587,-5.67984925,325.0,-5.591285228729248,53,3900,0.0003,-18.567161560058594,73
16,7699,0.10201027244329453,0.14064760506153107,-7.4662910625,487.5,-10.156868934631348,54,7800,0.0003,-19.60327911376953,142
20,12446,0.025682393461465836,0.03055334836244583,-8.97347835,627.35,-14.202795028686523,55,12547,0.0003,-16.78394889831543,224
24,12878,0.022726139053702354,0.040482260286808014,-7.435282083333333,540.7916666666666,-13.720470428466797,55,12979,0.0003,-16.43330192565918,234
28,13286,0.020327800884842873,0.08405546844005585,-6.438695607142857,478.10714285714283,-11.861818313598633,54,13387,0.0003,-15.952169418334961,244
32,14013,0.016662612557411194,0.04691265523433685,-6.1897111875,441.0625,-13.748617172241211,54,14114,0.0003,-15.365787506103516,259
36,15499,0.011260406114161015,0.038159072399139404,-6.293869861111111,433.3333333333333,-10.851576805114746,54,15600,0.0003,-14.100996017456055,287
40,18099,0.00622206274420023,0.3394090533256531,-5.019042075,455.0,-5.119619846343994,54,18200,0.0003,-12.406537055969238,334
44,21689,0.0034115202724933624,0.025997240096330643,-4.793071977272727,495.22727272727275,-0.5527628064155579,54,21790,0.0003,-10.491086959838867,399
48,22522,0.0031922864727675915,0.32309994101524353,-4.518854395833333,471.3125,0.3339610993862152,54,22623,0.0003,-10.052766799926758,415
52,23103,0.0033148641232401133,0.0228430163115263,-4.151510365384615,446.2307692307692,0.8340428471565247,54,23204,0.0003,-9.769929885864258,428
56,24789,0.0039619808085262775,0.016360562294721603,-4.7149363214285716,444.4642857142857,0.36111968755722046,54,24890,0.0003,-9.081350326538086,460
60,26299,0.0034804590977728367,0.09800173342227936,-4.9898887,440.0,0.8244079351425171,53,26400,0.0003,-8.326726913452148,489
64,27758,0.00336514413356781,0.45599669218063354,-4.729433421875,435.296875,1.1330735683441162,53,27859,0.0003,-7.801166534423828,516
68,28805,0.0033498837146908045,0.018098171800374985,-4.445485852941177,425.0882352941176,-1.0644776821136475,53,28906,0.0003,-7.618956565856934,536
72,30034,0.0032488859724253416,0.01932666450738907,-4.24012088888889,418.5416666666667,-0.34210658073425293,53,30135,0.0003,-7.097069263458252,560
76,30967,0.0031741538550704718,0.015664728358387947,-4.009858421052632,408.7894736842105,0.9005478620529175,53,31068,0.0003,-6.706005096435547,579
