time/episodes,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,train/ent_coef,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/n_updates,time/fps,time/total_timesteps,train/learning_rate
172,1188,4.3408379554748535,37.65733711,0.04259931296110153,-33.48310470581055,0.14047014713287354,326.99,660099,50,60400,0.0003
176,1208,4.61992073059082,38.00035608,0.0437895804643631,-42.43688201904297,0.015425451099872589,331.26,661047,50,61348,0.0003
180,1240,6.531848907470703,41.69450395,0.045823194086551666,-39.54158020019531,-0.4981710612773895,342.91,662707,50,63008,0.0003
184,1277,3.362734317779541,46.49434492,0.04921077564358711,-36.84932327270508,-0.8115803599357605,350.78,664651,50,64952,0.0003
188,1304,4.484790325164795,49.164573790000006,0.04988396167755127,-44.57334899902344,0.3626992404460907,351.0,665999,50,66300,0.0003
192,1344,3.4818975925445557,51.25451861,0.04801611602306366,-45.705345153808594,0.48409080505371094,353.8,668098,50,68399,0.0003
196,1393,4.894107341766357,53.00920765,0.045348409563302994,-49.279815673828125,0.9865620732307434,360.29,670689,50,70990,0.0003
200,1428,11.28923511505127,52.089290999999996,0.04684610664844513,-56.48310089111328,0.3601624369621277,358.59,672499,50,72800,0.0003
204,1466,5.373871803283691,53.06796969999999,0.05044536665081978,-37.78717041015625,-0.7175071835517883,365.51,674413,50,74714,0.0003
208,1500,101.31668853759766,52.46202947,0.04965585842728615,-41.052310943603516,-0.7177201509475708,371.85,676177,50,76478,0.0003
212,1563,3.8433096408843994,49.64921494,0.052166108042001724,-42.778038024902344,-0.05758817493915558,392.35,679536,51,79837,0.0003
216,1618,6.496144771575928,47.814181019999985,0.050114475190639496,-44.52090835571289,0.7703152894973755,408.98,682446,51,82747,0.0003
220,1646,68.52449035644531,47.44305643,0.04759592190384865,-46.56652069091797,0.6048815250396729,403.61,683854,51,84155,0.0003
224,1668,3.088609218597412,48.984611859999994,0.046749528497457504,-52.723655700683594,0.5858380198478699,410.7,684969,51,85270,0.0003
228,1687,4.4501447677612305,49.15711672,0.04776580631732941,-51.57868957519531,0.12771648168563843,411.12,685838,51,86139,0.0003
232,1706,2.95698881149292,49.67493742,0.04777185246348381,-39.66145706176758,-0.49815112352371216,412.19,686799,51,87100,0.0003
236,1721,8.259214401245117,48.27463142999999,0.048793911933898926,-43.41062545776367,0.17380698025226593,408.08,687477,50,87778,0.0003
240,1735,4.911808013916016,48.02323664999998,0.05065839737653732,-55.08403396606445,0.774384081363678,406.58,688099,50,88400,0.0003
244,1759,5.560632705688477,50.32937957,0.05355839803814888,-45.102027893066406,-0.6522107124328613,412.26,689317,50,89618,0.0003
248,1777,5.056499004364014,48.928629869999995,0.05509962886571884,-43.640933990478516,-0.8348433375358582,404.27,690168,50,90469,0.0003
252,1812,8.581119537353516,50.17725421,0.05533836781978607,-45.08888244628906,0.20526552200317383,403.0,691999,50,92300,0.0003
256,1849,6.195896625518799,52.3964998,0.053564950823783875,-46.402130126953125,-0.6307532787322998,408.88,693887,50,94188,0.0003
260,1883,76.43290710449219,54.01343424999999,0.05283313989639282,-54.512542724609375,-0.05077710747718811,405.8,695664,50,95965,0.0003
264,1913,4.9574456214904785,50.92326295,0.051087506115436554,-43.24663162231445,-1.2004034519195557,396.18,697199,50,97500,0.0003
268,1949,5.91558313369751,52.87496438,0.05112805590033531,-47.980255126953125,-0.287070631980896,401.32,699055,50,99356,0.0003
272,1964,7.659331321716309,51.31062605,0.05008535087108612,-54.21005630493164,1.8528445959091187,397.0,699799,50,100100,0.0003
276,1989,46.79439926147461,50.97251266999999,0.05046490207314491,-52.98713684082031,0.10260957479476929,400.06,701053,50,101354,0.0003
280,2004,6.297015190124512,47.29906446,0.04782624542713165,-47.27200698852539,0.22504600882530212,390.29,701736,50,102037,0.0003
284,2018,4.90614128112793,42.527467480000006,0.04828236997127533,-44.405181884765625,-0.9859042167663574,377.48,702399,50,102700,0.0003
288,2033,5.024028778076172,39.85562727,0.046822689473629,-40.507240295410156,0.34933456778526306,370.95,703094,50,103395,0.0003
292,2046,5.879128456115723,35.41054924,0.04618966951966286,-46.01570129394531,-0.16418161988258362,355.9,703688,50,103989,0.0003
296,2059,24.72953987121582,29.39854271,0.047238510102033615,-42.40092468261719,1.1149969100952148,335.97,704286,50,104587,0.0003
300,2074,6.999739170074463,26.35241877,0.048460595309734344,-45.51233673095703,-0.6158331632614136,325.0,704999,50,105300,0.0003
304,2090,7.16458797454834,23.428261499999998,0.04839055985212326,-46.79595184326172,-0.2437935471534729,313.35,705748,50,106049,0.0003
308,2111,5.308218955993652,23.528478149999998,0.04952988028526306,-54.7298469543457,0.8689078688621521,305.96,706773,50,107074,0.0003
312,2128,5.655874252319336,23.893814150000004,0.051657602190971375,-50.91830062866211,0.8256091475486755,280.63,707599,50,107900,0.0003
316,2148,9.985464096069336,25.590686969999997,0.05302441120147705,-59.69175720214844,0.148854598402977,261.21,708567,50,108868,0.0003
320,2169,61.9238166809082,24.55664088,0.05440114811062813,-48.098602294921875,-0.18987923860549927,257.35,709589,50,109890,0.0003
324,2186,5.75218391418457,23.193058789999995,0.055936362594366074,-51.56950378417969,-0.37704265117645264,254.37,710406,50,110707,0.0003
328,2216,78.69246673583984,25.671989019999998,0.05513744801282883,-47.719093322753906,0.027217283844947815,261.03,711941,50,112242,0.0003
332,2244,5.262287139892578,27.829857560000004,0.051669687032699585,-45.38853454589844,-1.1769840717315674,266.03,713402,50,113703,0.0003
336,2276,6.786625385284424,31.25040731,0.05217766761779785,-45.155914306640625,0.25862738490104675,275.3,715007,50,115308,0.0003
340,2295,8.72168254852295,33.03545843,0.05201133340597153,-45.45364761352539,-0.037080973386764526,278.36,715935,50,116236,0.0003
344,2324,5.718585014343262,34.59021988000001,0.04998799413442612,-45.03972244262695,0.4046142101287842,280.74,717391,50,117692,0.0003
348,2360,5.10306453704834,41.01466612,0.0479445680975914,-51.14939498901367,0.4966569244861603,290.92,719260,50,119561,0.0003
352,2386,7.504892349243164,41.61109217,0.04857935756444931,-41.86967468261719,-0.4850441515445709,286.0,720599,50,120900,0.0003
356,2412,7.169419288635254,39.48560126,0.04895012825727463,-60.8369140625,0.7147113680839539,280.12,721899,50,122200,0.0003
360,2438,25.076129913330078,38.66537494999999,0.05006081983447075,-44.765174865722656,-0.9996229410171509,275.35,723199,50,123500,0.0003
364,2453,5.907864570617676,37.70630014,0.04848136380314827,-42.410675048828125,-0.3134304881095886,267.0,723899,50,124200,0.0003
368,2476,5.489567756652832,35.16649938,0.05063669756054878,-49.891998291015625,-0.7686295509338379,259.21,724976,50,125277,0.0003
372,2502,6.5328545570373535,35.929870120000004,0.05167441815137863,-46.86974334716797,-0.35082435607910156,265.44,726343,50,126644,0.0003
376,2515,8.006088256835938,36.02201407,0.05057576298713684,-49.726165771484375,0.022354602813720703,258.6,726913,50,127214,0.0003
380,2526,6.428636074066162,36.114946290000006,0.05030997842550278,-49.07292556762695,-0.3406673073768616,256.42,727378,50,127679,0.0003
384,2536,7.395086288452148,36.10632836,0.048035878688097,-50.35194396972656,0.4811190366744995,253.98,727797,50,128098,0.0003
388,2548,24.718923568725586,36.13632804,0.04850263521075249,-57.761783599853516,0.9831511974334717,252.26,728320,50,128621,0.0003
392,2557,6.131707191467285,36.22896349,0.04922513663768768,-51.62409973144531,-0.38043850660324097,250.23,728711,50,129012,0.0003
396,2565,6.775975227355957,36.210724680000006,0.048321351408958435,-55.32931900024414,1.0829912424087524,247.08,728994,50,129295,0.0003
400,2576,8.030937194824219,36.31549985,0.04892057552933693,-47.68363571166992,-0.006931409239768982,245.11,729510,50,129811,0.0003
404,2585,5.310384750366211,36.28487278000001,0.04711298644542694,-46.412803649902344,1.1839334964752197,240.98,729846,50,130147,0.0003
408,2592,4.999385833740234,34.98009261999999,0.04736226797103882,-48.90196990966797,-0.010370269417762756,233.09,730082,50,130383,0.0003
412,2607,6.909693717956543,34.98031836,0.04579338803887367,-45.60853958129883,0.27936670184135437,231.71,730770,50,131071,0.0003
416,2614,4.082328796386719,33.58855091,0.045606691390275955,-40.51840591430664,-0.3047599792480469,225.04,731071,50,131372,0.0003
420,2622,6.067639350891113,31.80061435,0.04608761891722679,-39.335330963134766,-0.6785379648208618,217.78,731367,50,131668,0.0003
424,2632,64.5127182006836,31.657544320000003,0.04627907648682594,-50.46586227416992,1.1859221458435059,213.67,731773,50,132074,0.0003
428,2642,5.918768405914307,28.752946100000003,0.04808420687913895,-48.916038513183594,-0.5901538133621216,202.9,732231,50,132532,0.0003
432,2651,68.16620635986328,25.813940969999994,0.04837613180279732,-41.735713958740234,0.3471115827560425,191.73,732575,50,132876,0.0003
436,2672,8.479872703552246,24.060871719999994,0.049073725938797,-40.61129379272461,-0.6882855892181396,185.92,733599,50,133900,0.0003
440,2684,39.75579071044922,22.262332259999997,0.047465261071920395,-43.59907913208008,0.43240073323249817,182.2,734155,50,134456,0.0003
444,2698,4.89575719833374,18.43204147,0.046346478164196014,-39.70844650268555,-0.821049153804779,173.99,734790,50,135091,0.0003
448,2717,10.024826049804688,12.153011799999994,0.04959246888756752,-48.794986724853516,-0.7412735223770142,164.61,735721,50,136022,0.0003
452,2731,6.391839027404785,8.07388125,0.054117798805236816,-36.85527801513672,-0.6843156218528748,157.72,736371,50,136672,0.0003
456,2746,6.522392272949219,7.010363910000001,0.057880137115716934,-48.53938293457031,0.411450058221817,151.69,737068,50,137369,0.0003
460,2759,32.19221115112305,4.30269686,0.06102606654167175,-47.642860412597656,0.3264477252960205,144.5,737649,49,137950,0.0003
464,2769,5.9170684814453125,4.240659410000001,0.06487071514129639,-44.749488830566406,0.6076713800430298,141.57,738056,49,138357,0.0003
468,2779,38.53288269042969,3.155248510000001,0.07025553286075592,-48.35921096801758,-0.6755383610725403,135.13,738489,49,138790,0.0003
472,2788,7.054415702819824,2.4310967100000003,0.07249294966459274,-38.831600189208984,-0.10549446940422058,125.18,738861,49,139162,0.0003
476,2802,57.2193717956543,2.3133697400000006,0.0792921856045723,-43.61875534057617,-0.2648428678512573,125.4,739453,49,139754,0.0003
480,2815,53.0861930847168,2.1310692400000004,0.08433624356985092,-51.57268524169922,0.2396189123392105,126.66,740044,49,140345,0.0003
484,2826,5.461883544921875,2.06301298,0.08588019013404846,-49.473533630371094,0.0009729266166687012,127.45,740542,49,140843,0.0003
488,2839,9.740653991699219,1.9615986700000005,0.08172473311424255,-54.25720977783203,-0.2908645570278168,128.25,741145,49,141446,0.0003
492,2851,5.007575035095215,1.8225444000000002,0.07809832692146301,-57.76176071166992,0.11462980508804321,129.83,741694,49,141995,0.0003
496,2865,8.229674339294434,1.8147877,0.072215236723423,-46.93206787109375,0.471343457698822,133.12,742306,49,142607,0.0003
500,2877,29.159608840942383,1.7486229900000003,0.06714960932731628,-47.511356353759766,0.13694369792938232,133.42,742852,49,143153,0.0003
504,2890,9.828356742858887,1.6879202000000004,0.06531698256731033,-40.823638916015625,-0.43676331639289856,135.61,743407,49,143708,0.0003
508,2902,11.330245971679688,1.6626363700000004,0.059879329055547714,-52.586936950683594,-0.7080675363540649,139.17,743999,49,144300,0.0003
512,2917,5.763152599334717,1.5988686100000007,0.05651802569627762,-48.27122116088867,0.12135031819343567,138.75,744645,49,144946,0.0003
516,2931,3.944722890853882,1.553412400000001,0.05106617137789726,-52.19261932373047,0.12903611361980438,142.28,745299,49,145600,0.0003
520,2945,19.723209381103516,1.5249104300000007,0.04815610498189926,-48.44178771972656,-0.08781205117702484,145.99,745966,49,146267,0.0003
524,2959,10.139537811279297,1.4452941300000008,0.04451913759112358,-48.67504119873047,-0.72199547290802,148.26,746599,49,146900,0.0003
528,2976,8.150867462158203,1.4681295900000007,0.040922392159700394,-45.96551513671875,0.00423017144203186,151.48,747379,49,147680,0.0003
532,2992,19.142776489257812,1.4654814600000006,0.0398162379860878,-43.65568923950195,-1.0259580612182617,156.01,748176,49,148477,0.0003
536,3021,9.540348052978516,-0.13338865000000003,0.03927505761384964,-46.074039459228516,0.07968571782112122,160.59,749658,49,149959,0.0003
540,3070,31.02090072631836,-0.21558578000000003,0.04053252190351486,-46.63491439819336,1.4849599599838257,180.43,752198,49,152499,0.0003
544,3091,5.555698871612549,-0.38726656,0.04116304591298103,-49.41027069091797,0.026176929473876953,184.75,753265,49,153566,0.0003
548,3114,44.34801483154297,-0.30485967,0.04250277951359749,-49.48230743408203,0.853628933429718,186.78,754399,49,154700,0.0003
552,3138,4.324625015258789,-0.04829115999999999,0.04312039166688919,-49.70630645751953,-0.10407844185829163,192.15,755586,49,155887,0.0003
556,3153,12.140480041503906,0.11963268999999999,0.04368895664811134,-54.17498016357422,1.2858197689056396,191.88,756256,49,156557,0.0003
560,3169,9.35906982421875,0.33660890000000004,0.04250866174697876,-44.416114807128906,-0.4486461579799652,193.5,756999,49,157300,0.0003
564,3191,60.56576156616211,0.9694358,0.04215865209698677,-50.804752349853516,0.19632720947265625,200.45,758101,49,158402,0.0003
568,3209,8.462347030639648,1.3748498,0.04182058945298195,-57.64743423461914,-0.051005855202674866,204.83,758972,49,159273,0.0003
572,3246,9.637311935424805,2.154784,0.043169498443603516,-46.549095153808594,0.3212101459503174,220.38,760899,49,161200,0.0003
576,3319,7.441132068634033,1.8408359300000001,0.047911375761032104,-49.01801300048828,0.24991852045059204,253.46,764799,49,165100,0.0003
580,3395,5.982480049133301,1.6242684400000003,0.0575203001499176,-44.93705749511719,-0.18322303891181946,286.55,768699,49,169000,0.0003
584,3420,9.105220794677734,1.6269138200000004,0.05476055294275284,-41.92203140258789,-0.029589980840682983,294.57,769999,49,170300,0.0003
588,3450,8.314348220825195,1.6998738199999996,0.05320553481578827,-56.589420318603516,-0.214013010263443,303.56,771501,49,171802,0.0003
592,3482,11.44766902923584,1.7188220000000003,0.05689932778477669,-59.96428298950195,-0.49941951036453247,314.59,773153,49,173454,0.0003
596,3512,12.033292770385742,1.7516198400000003,0.056612417101860046,-58.11848449707031,0.42796412110328674,323.76,774682,49,174983,0.0003
600,3530,9.049739837646484,1.85681183,0.055427271872758865,-58.10700225830078,-0.42923885583877563,326.87,775539,49,175840,0.0003
604,3558,12.518196105957031,2.3259732099999995,0.05458439886569977,-51.17619705200195,1.0183006525039673,335.27,776934,49,177235,0.0003
608,3580,9.865726470947266,2.63933197,0.05556454882025719,-65.78870391845703,0.3950411081314087,340.61,778060,49,178361,0.0003
612,3601,10.099193572998047,3.2711459,0.05406265705823898,-56.6239128112793,0.810935914516449,344.54,779099,49,179400,0.0003
616,3627,13.828128814697266,4.841411310000001,0.05322755128145218,-55.11832809448242,0.3741878867149353,351.0,780399,49,180700,0.0003
620,3653,7.288232803344727,6.4552314,0.04960629343986511,-51.94013214111328,0.00022709369659423828,357.33,781699,49,182000,0.0003
624,3696,6.3026123046875,11.89759065,0.05694139376282692,-46.107513427734375,-0.5567797422409058,373.41,783940,49,184241,0.0003
628,3716,7.236227035522461,13.785113330000001,0.060517068952322006,-52.02527618408203,-0.23666857182979584,375.66,784945,49,185246,0.0003
632,3733,9.896821975708008,14.81929531,0.06323511153459549,-54.71422576904297,-0.1492006778717041,375.64,785740,49,186041,0.0003
636,3745,7.437970161437988,14.841372560000002,0.06463837623596191,-57.186824798583984,0.22489520907402039,366.11,786269,49,186570,0.0003
640,3756,11.569719314575195,15.049282499999999,0.06520291417837143,-56.960540771484375,0.7839490175247192,345.73,786771,49,187072,0.0003
644,3767,10.666248321533203,15.18590274,0.06463057547807693,-60.3048210144043,-0.8295978307723999,339.83,787248,49,187549,0.0003
648,3779,9.823436737060547,15.02991127,0.06354180723428726,-55.0754508972168,-0.04147885739803314,333.42,787741,49,188042,0.0003
652,3789,7.288205146789551,14.84516039,0.0596751943230629,-51.436771392822266,-0.6353359818458557,326.13,788199,49,188500,0.0003
656,3799,10.377729415893555,14.72840944,0.05807795003056526,-56.56306076049805,-0.6671609878540039,323.67,788623,49,188924,0.0003
660,3811,7.481101989746094,14.533377600000003,0.058913540095090866,-57.32575225830078,0.7436011433601379,321.47,789146,49,189447,0.0003
664,3820,12.171310424804688,13.934397370000005,0.0571603998541832,-57.505958557128906,-0.7096858024597168,313.98,789499,49,189800,0.0003
668,3833,7.270938396453857,13.59098631,0.053118281066417694,-54.772857666015625,-0.6434178948402405,311.1,790082,49,190383,0.0003
672,3843,11.286993026733398,12.844059920000001,0.05293215438723564,-55.03580856323242,0.006156392395496368,295.82,790481,49,190782,0.0003
676,3860,7.596138000488281,13.584815980000004,0.050453104078769684,-46.58983612060547,0.41315895318984985,265.19,791318,49,191619,0.0003
680,3889,11.657036781311035,16.487765050000004,0.04732789844274521,-54.869346618652344,-0.9881393313407898,240.86,792785,49,193086,0.0003
684,3950,9.31468677520752,19.484626390000003,0.04908020794391632,-45.70805358886719,-0.18767297267913818,260.0,795999,49,196300,0.0003
688,4022,32.59211349487305,20.772052240000004,0.04661985859274864,-53.064247131347656,-0.12094621360301971,283.98,799899,49,200200,0.0003
692,4071,6.247162818908691,22.524629889999996,0.04583439603447914,-40.92963790893555,0.9943533539772034,293.46,802499,49,202800,0.0003
696,4109,6.798161029815674,24.206247429999994,0.047632019966840744,-50.94111251831055,0.3027712106704712,297.88,804470,49,204771,0.0003
700,4158,15.862960815429688,27.11764421,0.04811163619160652,-37.439064025878906,-0.31676146388053894,314.94,807033,49,207334,0.0003
704,4196,14.974982261657715,30.263456110000003,0.0494164302945137,-57.51852798461914,0.7565977573394775,320.65,808999,49,209300,0.0003
708,4229,51.23633575439453,31.942040949999996,0.045331500470638275,-43.131561279296875,0.13574492931365967,326.13,810673,49,210974,0.0003
712,4260,6.847006797790527,35.456076249999995,0.04727013781666756,-34.23871612548828,-0.8037694692611694,331.8,812279,49,212580,0.0003
716,4293,6.926088333129883,40.11559412,0.048367757350206375,-44.94139099121094,-0.35512036085128784,335.75,813974,49,214275,0.0003
720,4322,6.632707595825195,42.75959029999999,0.048766475170850754,-41.33310317993164,-0.011138498783111572,337.5,815449,49,215750,0.0003
724,4349,364.35198974609375,41.94585318,0.04896204546093941,-49.94602966308594,-0.31987643241882324,328.59,816799,49,217100,0.0003
728,4375,7.324864387512207,43.35640221000001,0.0489482618868351,-50.42827224731445,0.04651239514350891,331.54,818099,49,218400,0.0003
732,4401,4.296949863433838,46.61332196,0.0495782271027565,-40.6129150390625,-1.145141363143921,336.59,819399,49,219700,0.0003
736,4427,9.785818099975586,50.41108531,0.05110196769237518,-47.042137145996094,0.17938315868377686,344.3,820699,49,221000,0.0003
740,4462,6.144817352294922,57.62638990000001,0.04840802028775215,-43.63320541381836,0.057523295283317566,357.6,822531,49,222832,0.0003
744,4498,13.161188125610352,64.1944981,0.04569597169756889,-42.28621292114258,-0.5717220306396484,371.17,824365,49,224666,0.0003
748,4527,4.742810249328613,68.366091,0.045003924518823624,-42.27857208251953,-0.061285268515348434,381.09,825850,49,226151,0.0003
752,4554,81.79241943359375,72.72124852,0.04828536510467529,-44.506011962890625,-1.1080893278121948,390.0,827199,49,227500,0.0003
756,4580,9.226350784301758,76.58106106,0.05006561800837517,-48.80912780761719,-0.536854088306427,398.76,828499,49,228800,0.0003
760,4606,8.200398445129395,80.98051066000001,0.05435192212462425,-43.413551330566406,-0.6931642293930054,406.53,829799,49,230100,0.0003
764,4632,6.9308037757873535,85.52068207,0.05185973644256592,-43.5808219909668,-0.20425006747245789,416.0,831099,49,231400,0.0003
768,4658,4.697397232055664,90.49479535,0.04956178367137909,-36.41985321044922,-0.810111403465271,423.17,832399,49,232700,0.0003
772,4684,35.09336853027344,95.62028352999998,0.04843901842832565,-41.93534851074219,0.4059772491455078,432.18,833699,49,234000,0.0003
776,4710,378.40667724609375,99.99278064,0.04568648338317871,-49.11323547363281,0.04845049977302551,436.81,834999,49,235300,0.0003
780,4759,19.40253448486328,100.31652379000003,0.04440887272357941,-50.38627624511719,1.0241838693618774,448.14,837599,49,237900,0.0003
784,4827,11.322629928588867,100.71946892,0.04294818639755249,-44.19783020019531,0.05942687392234802,452.59,841258,50,241559,0.0003
788,4858,6.203205108642578,104.717034,0.04158470034599304,-40.57829284667969,0.2677397131919861,429.0,842799,50,243100,0.0003
792,4892,4.796574115753174,110.00639591999999,0.040430739521980286,-41.68394470214844,-0.13050416111946106,420.85,844584,50,244885,0.0003
796,4923,5.597875595092773,112.88891377999998,0.04076039418578148,-36.55952453613281,-1.0083544254302979,416.7,846140,50,246441,0.0003
800,4954,5.998371124267578,115.39522833999999,0.039824385195970535,-36.758934020996094,-0.3832508623600006,407.04,847737,50,248038,0.0003
804,4984,4.9096598625183105,117.25664368000001,0.036334868520498276,-39.8203010559082,0.039392173290252686,403.0,849299,50,249600,0.0003
808,5023,3.9183294773101807,122.66965671,0.03539415821433067,-35.43377685546875,0.09085741639137268,406.17,851290,50,251591,0.0003
812,5060,4.948304176330566,126.07346463999998,0.03634362667798996,-32.4720458984375,-0.25289809703826904,409.2,853199,50,253500,0.0003
816,5093,35.4505615234375,125.35362839999999,0.03519750386476517,-40.24661636352539,0.30693867802619934,409.13,854887,50,255188,0.0003
820,5128,3.6996076107025146,126.78159503,0.035489752888679504,-39.840579986572266,0.48474201560020447,412.47,856696,50,256997,0.0003
824,5154,7.888799667358398,124.76580388999997,0.037266235798597336,-35.02479553222656,-0.2874574661254883,411.96,857995,50,258296,0.0003
828,5181,6.934454917907715,123.28923691999998,0.03618161007761955,-37.372947692871094,0.6686586141586304,412.55,859354,50,259655,0.0003
832,5192,4.22666597366333,119.02642316000004,0.03566101938486099,-28.938682556152344,0.12251543998718262,404.63,859862,50,260163,0.0003
836,5215,7.8427886962890625,116.68147006000002,0.03581458330154419,-31.625442504882812,-0.282747358083725,403.0,860999,50,261300,0.0003
840,5250,9.918546676635742,113.45293785000001,0.03368425741791725,-38.617530822753906,0.728595495223999,402.98,862829,50,263130,0.0003
844,5290,6.842600345611572,111.82369249,0.03277048468589783,-33.2685546875,-1.884504795074463,405.34,864899,50,265200,0.0003
848,5323,4.090898513793945,111.29016041000001,0.031420428305864334,-30.32063865661621,-0.4552478790283203,407.41,866591,50,266892,0.0003
