rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/ent_coef
-0.08651425,1,4,4,1.0,2,,,,,,
-0.08234825000000001,1,10,8,1.25,5,,,,,,
-0.07818866666666668,1,14,12,1.1666666666666667,7,,,,,,
-0.0795246875,1,19,16,1.1875,9,,,,,,
-0.08891045,1,23,20,1.15,12,,,,,,
-0.08493758333333334,1,28,24,1.1666666666666667,14,,,,,,
-0.10712717857142857,2,35,28,1.25,16,,,,,,
-0.12359521874999999,2,42,32,1.3125,19,,,,,,
-0.1212838888888889,2,47,36,1.3055555555555556,21,,,,,,
-0.12245297499999999,2,52,40,1.3,23,,,,,,
-0.12811454545454545,2,57,44,1.2954545454545454,26,,,,,,
-0.14521518749999998,2,64,48,1.3333333333333333,28,,,,,,
-0.14270476923076922,2,71,52,1.3653846153846154,30,,,,,,
-0.14176673214285712,2,76,56,1.3571428571428572,33,,,,,,
-0.13412951666666664,2,80,60,1.3333333333333333,35,,,,,,
-0.13179646875,2,84,64,1.3125,37,,,,,,
-0.12845460294117647,2,88,68,1.2941176470588236,40,,,,,,
-0.12441090277777778,2,92,72,1.2777777777777777,42,,,,,,
-0.12832877631578948,2,98,76,1.2894736842105263,44,,,,,,
-0.1303190125,2,103,80,1.2875,47,2,0.0003,-0.0014948572497814894,0.6469720602035522,-1.9934897422790527,0.9997000694274902
-0.14083946428571428,2,110,84,1.3095238095238095,49,9,0.0003,-0.012050876393914223,0.6964070200920105,-2.125702381134033,0.9976008534431458
-0.14482073863636363,2,116,88,1.3181818181818181,52,15,0.0003,-0.021161198616027832,0.6031960248947144,-2.209714651107788,0.9958038330078125
-0.14302459782608695,2,121,92,1.315217391304348,55,20,0.0003,-0.028603751212358475,0.5470213294029236,-2.24783992767334,0.9943082928657532
-0.14089521875000002,2,125,96,1.3020833333333333,58,24,0.0003,-0.03483813256025314,0.45222336053848267,-2.312873363494873,0.9931135177612305
-0.14114817000000002,2,130,100,1.3,60,29,0.0003,-0.042554281651973724,0.46924906969070435,-2.3855173587799072,0.9916221499443054
-0.14084192,2,134,104,1.3,63,33,0.0003,-0.04842935502529144,0.3363156318664551,-2.3765993118286133,0.9904295206069946
-0.15604018,2,143,108,1.33,66,42,0.0003,-0.06157247722148895,0.26734358072280884,-2.4507901668548584,0.9877547025680542
-0.16674125,2,150,112,1.36,68,49,0.0003,-0.07201400399208069,0.281914085149765,-2.50352144241333,0.9856864809989929
-0.17107942,2,155,116,1.36,71,54,0.0003,-0.07897119969129562,0.2443659007549286,-2.4991531372070312,0.9842140674591064
-0.16977843999999997,2,160,120,1.37,74,59,0.0003,-0.08604346960783005,0.3037036657333374,-2.5593132972717285,0.9827467203140259
-0.17488834,2,167,124,1.39,76,66,0.0003,-0.09522838890552521,0.2854386270046234,-2.5231282711029053,0.9807038903236389
-0.17478481999999995,2,173,128,1.38,79,72,0.0003,-0.10296940803527832,0.22055812180042267,-2.5629959106445312,0.97896409034729
-0.17694705,2,181,132,1.39,82,80,0.0003,-0.11512219905853271,0.21599358320236206,-2.568030834197998,0.9766581058502197
-0.18102821000000002,2,187,136,1.4,85,86,0.0003,-0.12320214509963989,0.24548248946666718,-2.556356191635132,0.9749335646629333
