train/ent_coef,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,train/learning_rate,time/episodes,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/actor_loss
0.8107836246490479,-1.0524396896362305,0.07064396142959595,200.0,0.0003,4,41,800,6.08229375,19,699,-7.961356163024902
0.6378791928291321,-2.251763343811035,0.4058852791786194,200.0,0.0003,8,41,1600,7.045140125,38,1499,-12.122139930725098
0.5023332238197327,-3.4185361862182617,0.17751401662826538,200.0,0.0003,12,41,2400,3.129818083333333,58,2299,-15.077640533447266
0.39609843492507935,-4.517356872558594,0.6200758218765259,200.0,0.0003,16,41,3200,-1.2193003125000001,77,3099,-16.789573669433594
0.3124887943267822,-5.66133975982666,0.20299334824085236,200.0,0.0003,20,41,4000,-2.94121625,97,3899,-17.958820343017578
0.2467757612466812,-6.604421615600586,0.20538699626922607,200.0,0.0003,24,41,4800,0.3489587083333336,116,4699,-18.770675659179688
0.19527052342891693,-7.58986759185791,0.3577611446380615,200.0,0.0003,28,41,5600,0.6170781428571431,136,5499,-18.80577278137207
0.15452145040035248,-8.29860782623291,0.5564411282539368,200.0,0.0003,32,41,6400,2.71824540625,154,6299,-19.137657165527344
0.12270593643188477,-9.027055740356445,0.34137624502182007,200.0,0.0003,36,41,7200,4.678510277777778,172,7099,-18.548864364624023
0.09782487154006958,-9.318353652954102,0.6641321778297424,200.0,0.0003,40,41,8000,6.114175049999999,190,7899,-18.61285400390625
0.07826077938079834,-9.763198852539062,2.075627326965332,200.0,0.0003,44,42,8800,7.278935363636364,208,8699,-18.547374725341797
0.0629141554236412,-9.16606330871582,3.0180811882019043,200.0,0.0003,48,42,9600,7.492749083333334,226,9499,-17.848588943481445
0.050719767808914185,-9.970815658569336,3.1605045795440674,200.0,0.0003,52,42,10400,7.923949096153848,247,10299,-17.31973648071289
0.040926314890384674,-8.87846565246582,1.706416130065918,200.0,0.0003,56,41,11200,7.977564714285714,267,11099,-16.803787231445312
0.0330529548227787,-8.377695083618164,1.0523438453674316,200.0,0.0003,60,41,12000,8.18522345,288,11899,-16.237659454345703
0.02680470421910286,-8.055119514465332,0.2398117333650589,200.0,0.0003,64,41,12800,8.382487843749999,307,12699,-15.974571228027344
0.0218423493206501,-8.457435607910156,0.5579729080200195,200.0,0.0003,68,41,13600,8.675692955882353,326,13499,-15.498298645019531
0.017937101423740387,-7.145810127258301,1.0669920444488525,200.0,0.0003,72,41,14400,9.383870486111112,344,14299,-15.111507415771484
0.0148381432518363,-6.068432331085205,1.475240707397461,200.0,0.0003,76,41,15200,9.367590394736842,363,15099,-14.731952667236328
0.012431404553353786,-4.563541889190674,0.21721717715263367,200.0,0.0003,80,41,16000,9.748296999999999,382,15899,-14.37118148803711
0.010636921972036362,-1.591853141784668,0.4506499767303467,200.0,0.0003,84,41,16800,10.365547559523808,401,16699,-13.620226860046387
0.009212540462613106,-3.6180825233459473,0.7728347182273865,200.0,0.0003,88,41,17600,10.673743272727274,419,17499,-13.160924911499023
0.007908530533313751,-2.448472023010254,0.941413402557373,200.0,0.0003,92,41,18400,10.85698220652174,438,18299,-13.033293724060059
0.007245582062751055,-1.295766830444336,0.30419647693634033,200.0,0.0003,96,41,19200,11.665440656249999,457,19099,-12.747172355651855
0.007210811600089073,-0.3199581503868103,0.2048780620098114,200.0,0.0003,100,41,20000,11.809875459999995,476,19899,-12.2591552734375
0.007078480441123247,-0.556868851184845,0.8642069101333618,200.0,0.0003,104,41,20800,11.802903109999999,495,20699,-12.14358139038086
0.006778063252568245,0.10765961557626724,0.9901621341705322,200.0,0.0003,108,42,21600,12.109477980000003,513,21499,-12.064599990844727
