Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.000421383538303415,0.332184070499596,-2.49856603214365E-05,0,0,0,1.26922827121308,0.00712869589949337,2.05467603967552E-06,-1.26110535516475E-05,0.00356362051856473,-3.33176185448526E-07,0.00385683095591035,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/body.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/body.STL,,spm_main-v6-2;frontend-v5-2;backend-v5-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
egg,-0.000856870052106162,0.000347063522881013,-0.000438979878990969,0,0,0,0.359454466100374,0.00046744587050428,3.35509051901726E-12,0.000120581531090257,0.000628654329683654,5.04013399503035E-12,0.000288982854446198,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/egg.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/egg.STL,,whole_egg-v6-1,Origin_egg,Axis_egg,egg,continuous,0,0.33,0,-0.0042072,0.47719,-1.5727,body,0,1,0,0.02,3.927,-1.309,1.309,,,,,,,,
left,0.135498595849044,0.000882305601416833,-0.0136485490400978,0,0,0,0.313897455052643,0.000166677112614188,-3.63327768091806E-06,5.65922173970379E-05,0.000580132833015466,3.66054462476453E-07,0.00072268241644618,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/left.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/left.STL,,wing_assem_2-1,Origin_left,Axis_left,left,continuous,0,0,0,-0.47575,-0.094629,1.6194,egg,0,1,0,0.2,1,-0.7854,0.7854,,,,,,,,
right,0.134693560193067,-0.00249189131958033,-0.00671898153915416,0,0,0,0.306854747869197,0.00016141276651425,1.13945933887369E-06,2.80513037956452E-05,0.000576085577233412,-5.68566029740095E-08,0.00072219324390974,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/right.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://spm-asm-v6.SLDASM/meshes/right.STL,,wing_assem-1,Origin_right,Axis_right,right,continuous,0,-0.00049999,0,0.47396,-0.044987,-1.5939,egg,0,1,0,0.2,1,-0.7854,0.7854,,,,,,,,
