time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,time/fps,rollout/ep_rew_mean
38,545.0,4,2180,0.0003,-3.079965591430664,2079,0.07142812013626099,0.5366261005401611,-13.617497444152832,56,-66.941
58,398.875,8,3191,0.0003,-4.513031005859375,3090,0.8246700763702393,0.39705953001976013,-16.216041564941406,54,-44.938565125
84,384.9166666666667,12,4619,0.0003,-6.49091911315918,4518,0.1162116602063179,0.26005131006240845,-17.988189697265625,54,-38.81109375
104,352.625,16,5642,0.0003,-7.608797550201416,5541,0.7067277431488037,0.192613884806633,-18.38978385925293,54,-32.9808266875
121,325.0,20,6500,0.0003,-8.181045532226562,6399,1.4373615980148315,0.15021173655986786,-17.938465118408203,53,-27.7163183
168,379.1666666666667,24,9100,0.0003,-10.40560245513916,8999,0.7653881311416626,0.07152991741895676,-16.383453369140625,54,-27.714796416666662
259,510.7142857142857,28,14300,0.0003,-9.405942916870117,14199,0.3531416654586792,0.01704513654112816,-12.938716888427734,55,-26.73267167857143
296,508.6875,32,16278,0.0003,-4.512781620025635,16177,0.029896719381213188,0.010765929706394672,-11.710139274597168,54,-23.56045953125
312,474.19444444444446,36,17071,0.0003,-3.557465076446533,16970,0.5285954475402832,0.009435332380235195,-11.328721046447754,54,-20.756639944444444
329,448.275,40,17931,0.0003,-2.5419068336486816,17830,0.045950233936309814,0.008204414509236813,-10.920103073120117,54,-18.569119524999998
351,433.75,44,19085,0.0003,-3.322323799133301,18984,0.023453079164028168,0.0066827163100242615,-10.269046783447266,54,-16.83345790909091
374,422.4375,48,20277,0.0003,-3.459606170654297,20176,0.02114308439195156,0.005453598219901323,-9.771528244018555,54,-15.423158166666667
400,416.4423076923077,52,21655,0.0003,0.6483424305915833,21554,0.10842789709568024,0.004588058218359947,-8.977209091186523,54,-14.218979596153845
455,441.07142857142856,56,24700,0.0003,-1.5695744752883911,24599,0.23395034670829773,0.003496384248137474,-7.603092193603516,54,-13.546736321428572
525,476.6666666666667,60,28600,0.0003,0.8399852514266968,28499,0.006637607701122761,0.0035803690552711487,-6.094311714172363,54,-13.196047766666668
550,467.1875,64,29900,0.0003,-2.835623025894165,29799,0.006571299396455288,0.003663569688796997,-5.79888916015625,54,-12.475569109375
595,475.8382352941176,68,32357,0.0003,0.6809208989143372,32256,0.012242721393704414,0.003195510245859623,-4.993454933166504,54,-12.234024779411765
628,473.30555555555554,72,34078,0.0003,-0.9755443930625916,33977,0.005612075328826904,0.0030117440037429333,-4.620485782623291,54,-11.690082347222223
648,461.8421052631579,76,35100,0.0003,0.6826579570770264,34999,0.005149459466338158,0.003319479525089264,-4.338475704193115,54,-11.199735539473684
658,444.5625,80,35565,0.0003,-0.9326252937316895,35464,0.017604004591703415,0.0032788359094411135,-4.257857799530029,54,-10.7587694125
671,430.51190476190476,84,36163,0.0003,1.180734395980835,36062,0.0057906582951545715,0.0032947640866041183,-4.20998477935791,53,-10.368472476190476
695,424.96590909090907,88,37397,0.0003,-0.4577755928039551,37296,0.09648074209690094,0.003301232121884823,-4.083230972290039,53,-10.428010556818181
720,420.9130434782609,92,38724,0.0003,-2.6046385765075684,38623,0.012204274535179138,0.0032142738346010447,-3.729278802871704,53,-10.412261913043478
