train/critic_loss,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes,rollout/ep_len_mean,train/actor_loss,train/ent_coef,time/fps,train/ent_coef_loss,train/n_updates,time/total_timesteps
0.3261449337005615,-383.82563749999997,25,0.0003,4,325.0,-1.2035815715789795,0.7077561616897583,51,-1.4640414714813232,1199,1300
0.20472195744514465,-329.002243,59,0.0003,8,389.0,-0.09893190860748291,0.4260595142841339,51,-3.0492489337921143,3011,3112
0.2651309072971344,-307.97035566666665,101,0.0003,12,433.3333333333333,4.321303367614746,0.24115969240665436,51,-4.013491630554199,5099,5200
0.32310551404953003,-276.44880981250003,148,0.0003,16,484.8125,7.319584846496582,0.12464617937803268,52,-3.946873903274536,7656,7757
0.473135769367218,-219.24238144999998,190,0.0003,20,508.4,7.351842880249023,0.0712607279419899,53,-2.393909215927124,10067,10168
0.5580001473426819,-201.33995295833333,228,0.0003,24,516.5833333333334,7.916360855102539,0.04706398397684097,54,-0.6921694278717041,12297,12398
1.7127546072006226,-183.73230346428568,262,0.0003,28,510.7142857142857,12.102535247802734,0.038088150322437286,54,-0.7525882720947266,14199,14300
2.7730953693389893,-158.95155006250002,303,0.0003,32,518.71875,11.332889556884766,0.03708793967962265,54,0.0356956347823143,16498,16599
7.208166599273682,-138.04824755555558,333,0.0003,36,505.55555555555554,9.03807258605957,0.03793484717607498,54,-0.06531107425689697,18099,18200
0.8206655979156494,-114.49638552500001,377,0.0003,40,518.825,6.229401588439941,0.03872942551970482,54,0.8021219968795776,20652,20753
1.0811409950256348,-103.63671093181819,418,0.0003,44,518.5681818181819,5.356930732727051,0.04094814136624336,54,-0.08047804236412048,22716,22817
1.726104736328125,-103.51881633333335,450,0.0003,48,508.5,9.628159523010254,0.04012849181890488,54,0.4809151589870453,24307,24408
1.3060680627822876,-97.95773603846153,479,0.0003,52,500.0,6.278671741485596,0.040558572858572006,54,-0.09312981367111206,25899,26000
1.3450669050216675,-78.60362726785715,525,0.0003,56,510.125,8.670434951782227,0.04291854053735733,54,0.2957704961299896,28466,28567
5.560293674468994,-66.97896095,549,0.0003,60,498.3333333333333,2.0608468055725098,0.04457997530698776,54,-0.10810603201389313,29799,29900
1.4378728866577148,-53.28780143750001,583,0.0003,64,496.4375,0.6354323625564575,0.045829836279153824,54,-0.19769597053527832,31671,31772
1.9645297527313232,-38.76349226470589,618,0.0003,68,495.79411764705884,-3.202058792114258,0.04770560935139656,54,0.620532751083374,33613,33714
3.997688055038452,-34.205548902777785,641,0.0003,72,486.15277777777777,1.025411605834961,0.04857775568962097,54,0.43543583154678345,34902,35003
0.8669645190238953,-28.005483263157895,667,0.0003,76,478.94736842105266,0.32139134407043457,0.04833139106631279,54,0.38911759853363037,36299,36400
7.202247619628906,-20.9590777125,691,0.0003,80,471.25,3.5917863845825195,0.047794148325920105,54,0.16680729389190674,37599,37700
1.6681580543518066,-13.05932004761905,715,0.0003,84,464.2857142857143,-4.797333717346191,0.048849768936634064,54,-0.18844068050384521,38899,39000
1.4046132564544678,-9.510669397727273,739,0.0003,88,457.95454545454544,-1.9381271600723267,0.05087103694677353,54,0.16334199905395508,40199,40300
1.4330772161483765,5.0882016739130425,771,0.0003,92,457.4673913043478,-4.184942245483398,0.052237290889024734,54,-0.1253213882446289,41986,42087
19.536672592163086,11.56002189583333,793,0.0003,96,450.6770833333333,-1.9068195819854736,0.05272112414240837,54,-0.07600897550582886,43164,43265
1.667402744293213,14.293972659999994,811,0.0003,100,442.0,-2.7712607383728027,0.05420350283384323,54,-0.41006290912628174,44099,44200
1.6704437732696533,37.01363161,835,0.0003,104,442.0,-7.5383477210998535,0.054951224476099014,54,-0.2075623869895935,45399,45500
2.4380035400390625,61.16476041999999,859,0.0003,108,436.88,-5.19388484954834,0.05704127997159958,54,0.05177054554224014,46699,46800
2.4820237159729004,80.65433878,883,0.0003,112,429.0,-13.130749702453613,0.058476630598306656,54,-0.06254719197750092,47999,48100
12.220541000366211,97.63464387,907,0.0003,116,416.43,-8.080758094787598,0.05869300663471222,54,-0.8652343153953552,49299,49400
1.3152285814285278,107.74883562999999,930,0.0003,120,405.32,-10.394550323486328,0.06144639104604721,54,0.21686311066150665,50599,50700
10.9063720703125,120.35720544,954,0.0003,124,396.02,-17.565656661987305,0.06094304099678993,54,0.9321050643920898,51899,52000
13.442936897277832,135.42655208,979,0.0003,128,390.0,-14.280099868774414,0.0627887174487114,54,-0.1655898094177246,53199,53300
1.653560996055603,146.84374621,1003,0.0003,132,380.01,-11.425176620483398,0.06467849016189575,54,-0.30650871992111206,54499,54600
2.7016844749450684,157.34843362,1027,0.0003,136,377.0,-19.0444278717041,0.06445803493261337,54,0.22831250727176666,55799,55900
15.563621520996094,166.21724199,1051,0.0003,140,364.47,-21.516334533691406,0.06495052576065063,54,-0.1438376009464264,57099,57200
2.820573091506958,179.45019772999996,1075,0.0003,144,356.83,-15.03997802734375,0.06481130421161652,54,-0.13155336678028107,58399,58500
10.399177551269531,195.02522735999995,1099,0.0003,148,353.92,-22.271652221679688,0.06630925089120865,54,-0.0074721574783325195,59699,59800
1.6415770053863525,208.16210513,1123,0.0003,152,351.0,-16.58152961730957,0.06615139544010162,54,-0.6131243705749512,60999,61100
2.81260347366333,213.72461025,1148,0.0003,156,338.33,-26.048412322998047,0.06589046120643616,54,0.6624283790588379,62299,62400
1.9195435047149658,221.59327361999996,1172,0.0003,160,338.0,-30.564231872558594,0.06577810645103455,54,-0.08147147297859192,63599,63700
